 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   1050.51019214302      K           2           0
  -168.161203721139      K           2           1
   140.470417239866      K          -2           1
   12.3144271998977      K           2           2
   32.5833985108970      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
   78.4431765253126      K           4           0
  -1.60468611835462      K           4           1
   7.19181740168028      K          -4           1
   4.55442531651453      K           4           2
   6.70733597826519      K          -4           2
   93.3198804247011      K           4           3
   74.7531811608926      K          -4           3
   96.3103150020121      K           4           4
   3.77275237055901      K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   4.83675249799887      K           6           0
  -4.49767669292268      K           6           1
   5.39134726203707      K          -6           1
   1.26410524645806      K           6           2
  -3.33428272003843      K          -6           2
  -7.49058188615340      K           6           3
  -7.68408166594540      K          -6           3
   5.37154427286768      K           6           4
 -0.115347963177153      K          -6           4
   30.4977023836662      K           6           5
  -28.4747781704652      K          -6           5
  0.999213881488759      K           6           6
  -10.3287327139247      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   1127.70375700249      K           2           0
  -128.304128229507      K           2           1
   115.904100653703      K          -2           1
   210.249486717555      K           2           2
  -3.15111542363880      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
   77.3781166391269      K           4           0
  -12.1069801726530      K           4           1
   11.6755190056211      K          -4           1
  -25.9812845920407      K           4           2
   11.6783334557089      K          -4           2
   75.0759351216548      K           4           3
   99.7463358003998      K          -4           3
   21.4789670618563      K           4           4
   22.9198541450789      K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   5.36640113543740      K           6           0
  -5.01239407857767      K           6           1
   5.19260051247473      K          -6           1
   3.59272890893643      K           6           2
  -3.49697543363242      K          -6           2
  -7.45796155735391      K           6           3
  -7.51055978242944      K          -6           3
   11.0986795211421      K           6           4
 -4.874816636427940E-002 K          -6           4
   30.5802006512686      K           6           5
  -30.1561273786581      K          -6           5
   11.3519608996833      K           6           6
  -10.3021544940417      K          -6           6
