 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
  -169.309245022402      K           2           0
  -49.9119986068683      K           2           1
   88.6083696996843      K          -2           1
   58.5145063763376      K           2           2
   95.4122681711255      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -25.6362640186790      K           4           0
   35.5275460408715      K           4           1
  -37.4068911744338      K          -4           1
  0.714609056764665      K           4           2
  -19.5519595256396      K          -4           2
   112.057238910097      K           4           3
   96.9272448336717      K          -4           3
   68.1873881810624      K           4           4
   4.38085792746126      K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   6.83682661052162      K           6           0
  -5.41176972077791      K           6           1
   5.17221371234855      K          -6           1
  0.412031059130234      K           6           2
  -4.47267617922015      K          -6           2
  -9.98233409003567      K           6           3
  -10.4643010029438      K          -6           3
  -9.52288046620400      K           6           4
 -8.674997722779308E-002 K          -6           4
   38.0756651308279      K           6           5
  -37.5849000893686      K          -6           5
   1.33104997737509      K           6           6
  -12.3263422664376      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
  -69.1110449117366      K           2           0
  -41.6355889289041      K           2           1
   55.8960953347839      K          -2           1
   276.633470500086      K           2           2
   86.6735537682237      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -31.0302559349263      K           4           0
   34.3195340223562      K           4           1
  -30.2861171993310      K          -4           1
  -41.1668874012499      K           4           2
  -13.8447079479193      K          -4           2
   86.2155528386629      K           4           3
   113.365358217956      K          -4           3
  -13.2532110855390      K           4           4
   19.7520315551930      K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   7.37181258474548      K           6           0
  -5.50684005422395      K           6           1
   5.95919409956018      K          -6           1
   5.30409965578509      K           6           2
  -4.36225949609393      K          -6           2
  -10.7340727265779      K           6           3
  -10.1183635365232      K          -6           3
  -3.17483561344474      K           6           4
  0.186909613529844      K          -6           4
   38.7782939010323      K           6           5
  -38.9799828392592      K          -6           5
   12.1136602344186      K           6           6
  -12.2113626890387      K          -6           6
