 ATOMNUMBER =           1
 NUMBER OF LM          49
 l   m   Alm<r^l> (K)
           0           0  0.000000000000000E+000 K
           1           0  0.000000000000000E+000 K
           1           1  0.000000000000000E+000 K
          -1           1  0.000000000000000E+000 K
           2           0  -532.175111921676      K
           2           1  0.000000000000000E+000 K
          -2           1  0.000000000000000E+000 K
           2           2 -1.132508467358869E-005 K
          -2           2  -834.244021347432      K
           3           0  0.000000000000000E+000 K
           3           1  0.000000000000000E+000 K
          -3           1  0.000000000000000E+000 K
           3           2  0.000000000000000E+000 K
          -3           2  0.000000000000000E+000 K
           3           3  0.000000000000000E+000 K
          -3           3  0.000000000000000E+000 K
           4           0  -22.9243831043761      K
           4           1  0.000000000000000E+000 K
          -4           1  0.000000000000000E+000 K
           4           2 -1.468126754176973E-005 K
          -4           2   126.099766279972      K
           4           3   184.742337102873      K
          -4           3  -184.742277916833      K
           4           4  -66.8876847733494      K
          -4           4 -1.299353016425616E-005 K
           5           0  0.000000000000000E+000 K
           5           1  0.000000000000000E+000 K
          -5           1  0.000000000000000E+000 K
           5           2  0.000000000000000E+000 K
          -5           2  0.000000000000000E+000 K
           5           3  0.000000000000000E+000 K
          -5           3  0.000000000000000E+000 K
           5           4  0.000000000000000E+000 K
          -5           4  0.000000000000000E+000 K
           5           5  0.000000000000000E+000 K
          -5           5  0.000000000000000E+000 K
           6           0 -0.722506312159117      K
           6           1  0.000000000000000E+000 K
          -6           1  0.000000000000000E+000 K
           6           2  1.115848723023149E-006 K
          -6           2  -1.90242821606583      K
           6           3   12.7975986894236      K
          -6           3  -12.7975998425982      K
           6           4  -15.2316947048408      K
          -6           4  1.708885480438121E-007 K
           6           5  0.000000000000000E+000 K
          -6           5  0.000000000000000E+000 K
           6           6 -1.027210131487396E-006 K
          -6           6  -15.5253745554697      K
 ATOMNUMBER =           2
 NUMBER OF LM          49
 l   m   Alm<r^l> (K)
           0           0  0.000000000000000E+000 K
           1           0  0.000000000000000E+000 K
           1           1  0.000000000000000E+000 K
          -1           1  0.000000000000000E+000 K
           2           0   414.903622001763      K
           2           1  0.000000000000000E+000 K
          -2           1  0.000000000000000E+000 K
           2           2 -9.079320302690260E-005 K
          -2           2  -1105.13164455825      K
           3           0  0.000000000000000E+000 K
           3           1  0.000000000000000E+000 K
          -3           1  0.000000000000000E+000 K
           3           2  0.000000000000000E+000 K
          -3           2  0.000000000000000E+000 K
           3           3  0.000000000000000E+000 K
          -3           3  0.000000000000000E+000 K
           4           0  -55.0294948885421      K
           4           1  0.000000000000000E+000 K
          -4           1  0.000000000000000E+000 K
           4           2  9.002913279711104E-007 K
          -4           2   73.2673335023746      K
           4           3  -6.22763340287258      K
          -4           3   6.22761986122440      K
           4           4  -178.941403639079      K
          -4           4  8.904722527568938E-005 K
           5           0  0.000000000000000E+000 K
           5           1  0.000000000000000E+000 K
          -5           1  0.000000000000000E+000 K
           5           2  0.000000000000000E+000 K
          -5           2  0.000000000000000E+000 K
           5           3  0.000000000000000E+000 K
          -5           3  0.000000000000000E+000 K
           5           4  0.000000000000000E+000 K
          -5           4  0.000000000000000E+000 K
           5           5  0.000000000000000E+000 K
          -5           5  0.000000000000000E+000 K
           6           0  -2.31327710318131      K
           6           1  0.000000000000000E+000 K
          -6           1  0.000000000000000E+000 K
           6           2 -2.107118263005825E-006 K
          -6           2  -6.56181900423964      K
           6           3  0.124144935067249      K
          -6           3 -0.124154487360599      K
           6           4  -23.0598354634828      K
          -6           4 -1.379728179316157E-006 K
           6           5  0.000000000000000E+000 K
          -6           5  0.000000000000000E+000 K
           6           6  3.174894159862804E-006 K
          -6           6   1.01872648063597      K
 ATOMNUMBER =           3
 NUMBER OF LM          49
 l   m   Alm<r^l> (K)
           0           0  0.000000000000000E+000 K
           1           0  0.000000000000000E+000 K
           1           1  0.000000000000000E+000 K
          -1           1  0.000000000000000E+000 K
           2           0  -532.175112653822      K
           2           1  0.000000000000000E+000 K
          -2           1  0.000000000000000E+000 K
           2           2  9.041370817744890E-006 K
          -2           2  -834.244037309572      K
           3           0  0.000000000000000E+000 K
           3           1  0.000000000000000E+000 K
          -3           1  0.000000000000000E+000 K
           3           2  0.000000000000000E+000 K
          -3           2  0.000000000000000E+000 K
           3           3  0.000000000000000E+000 K
          -3           3  0.000000000000000E+000 K
           4           0  -22.9243848255636      K
           4           1  0.000000000000000E+000 K
          -4           1  0.000000000000000E+000 K
           4           2  1.187314600276562E-005 K
          -4           2   126.099787027967      K
           4           3  -184.742233748438      K
          -4           3   184.742297185782      K
           4           4  -66.8877073050480      K
          -4           4  1.256395752064440E-005 K
           5           0  0.000000000000000E+000 K
           5           1  0.000000000000000E+000 K
          -5           1  0.000000000000000E+000 K
           5           2  0.000000000000000E+000 K
          -5           2  0.000000000000000E+000 K
           5           3  0.000000000000000E+000 K
          -5           3  0.000000000000000E+000 K
           5           4  0.000000000000000E+000 K
          -5           4  0.000000000000000E+000 K
           5           5  0.000000000000000E+000 K
          -5           5  0.000000000000000E+000 K
           6           0 -0.722506358980591      K
           6           1  0.000000000000000E+000 K
          -6           1  0.000000000000000E+000 K
           6           2 -8.678287697357593E-008 K
          -6           2  -1.90242882955765      K
           6           3  -12.7976001484253      K
          -6           3   12.7975987847728      K
           6           4  -15.2316943033001      K
          -6           4 -1.463714106900027E-007 K
