 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   17.1825144392713      K           2           0
 -8.827141017309674E-002 K           2           1
  0.311319633678758      K          -2           1
  -94.7526576690486      K           2           2
   152.711406296701      K          -2           2
   2.78562431007120      K           4           0
  1.265837915386347E-003 K           4           1
  3.217035794007525E-002 K          -4           1
   41.5006019503561      K           4           2
  -68.4548801135794      K          -4           2
  0.205733444075498      K           4           3
  0.120003290879761      K          -4           3
   31.6870337866195      K           4           4
   60.3264496404185      K          -4           4
  -1.09872919587160      K           6           0
 -6.025243543398550E-003 K           6           1
 -1.752191020214341E-003 K          -6           1
   6.07826886500595      K           6           2
  -10.1874627457436      K          -6           2
 -3.615062095052060E-004 K           6           3
  1.587940231218547E-003 K          -6           3
   17.6516270233824      K           6           4
   33.2712909010453      K          -6           4
 -1.138725924218096E-002 K           6           5
 -3.006867879151528E-003 K          -6           5
  -76.3671628321439      K           6           6
  -4.05079683089485      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   66.7248311288387      K           2           0
  0.167150546102518      K           2           1
  6.531506474844667E-002 K          -2           1
  -129.473775379231      K           2           2
   77.3070166039109      K          -2           2
  -7.80230992911238      K           4           0
  4.069582912550084E-002 K           4           1
 -4.554879857715344E-002 K          -4           1
   15.3005491203203      K           4           2
  -36.6924966033596      K          -4           2
  0.129684101603350      K           4           3
 -0.143973965375821      K          -4           3
   63.1133101313957      K           4           4
   48.4353856310161      K          -4           4
   2.53951885941770      K           6           0
 -2.113927156747630E-003 K           6           1
  3.514743612232600E-003 K          -6           1
  -3.34527789673790      K           6           2
  -3.46011966593497      K          -6           2
 -3.754962689059228E-003 K           6           3
  1.308882300960728E-003 K          -6           3
   29.1310136859750      K           6           4
   14.2080248789039      K          -6           4
 -4.029069466567291E-003 K           6           5
 -1.821556303952810E-002 K          -6           5
  -121.179832721126      K           6           6
  -11.3142806092483      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -105.075094950326      K           2           0
   1.81036323425285      K           2           1
  1.624439238006621E-002 K          -2           1
  -22.9836178232593      K           2           2
   22.9313970728973      K          -2           2
  -41.3021425649405      K           4           0
  0.131485050310733      K           4           1
 -0.230513892236656      K          -4           1
  -7.05548643388731      K           4           2
   12.1122144477708      K          -4           2
 -5.097595843491796E-002 K           4           3
 -0.819418121431007      K          -4           3
  -26.8181808620057      K           4           4
  -46.4639198707832      K          -4           4
   8.90639780231899      K           6           0
 -5.900081856612910E-003 K           6           1
 -8.904006810358401E-003 K          -6           1
   5.07512698244304      K           6           2
  -8.54101790344617      K          -6           2
 -1.966726445146309E-002 K           6           3
  4.047963973526593E-003 K          -6           3
  -19.1723538036952      K           6           4
  -36.2937534192492      K          -6           4
  2.517687739639420E-002 K           6           5
  1.297926173129809E-002 K          -6           5
  -185.133000416073      K           6           6
  -9.78845903870928      K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -263.481782849728      K           2           0
  0.146196552214808      K           2           1
  0.551486791441066      K          -2           1
  -23.5645477028973      K           2           2
   27.9493822500247      K          -2           2
  -42.5506126281840      K           4           0
  6.284491382117213E-002 K           4           1
  4.159581099197263E-002 K          -4           1
   22.3989112835725      K           4           2
  -37.5452015621876      K          -4           2
 -1.269523112347992E-002 K           4           3
 -0.220930141434495      K          -4           3
   41.3067190477465      K           4           4
   80.3251059541423      K          -4           4
   5.19434263668751      K           6           0
 -1.210363836794301E-002 K           6           1
 -6.634934664459404E-004 K          -6           1
   6.02232926827448      K           6           2
  -10.0359348861823      K          -6           2
 -2.342002582815392E-003 K           6           3
 -4.594355076613759E-003 K          -6           3
   13.6223619267593      K           6           4
   25.5006106858774      K          -6           4
 -1.788279839811251E-002 K           6           5
  5.851293774530994E-003 K          -6           5
  -94.7049719946353      K           6           6
  -5.02168204879791      K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   64.5456590064914      K           2           0
 -0.414954814383534      K           2           1
 -0.113746649839186      K          -2           1
  -13.5699245405805      K           2           2
   145.437247798633      K          -2           2
  -7.68190116201780      K           4           0
  4.433725282799870E-002 K           4           1
 -2.977796841503285E-002 K          -4           1
   25.4698191376708      K           4           2
  -30.5575005625522      K          -4           2
 -0.264249616159217      K           4           3
  9.314036492670864E-002 K          -4           3
   5.10824855106390      K           4           4
   81.3825119894270      K          -4           4
   2.54158092008842      K           6           0
 -3.022050543518429E-003 K           6           1
  3.508203713961718E-003 K          -6           1
   4.58965254645274      K           6           2
   1.30327447178111      K          -6           2
  4.586413966123619E-003 K           6           3
  1.370223965612036E-002 K          -6           3
  -4.42375571043222      K           6           4
   32.1044565613120      K          -6           4
 -9.471425271560795E-003 K           6           5
 -7.854546728335609E-004 K          -6           5
  -121.667763837981      K           6           6
  -1.63696357042255      K          -6           6
