 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -303.086381797109      K           2           0
  -2.58835593361522      K           2           1
   4.47676698190824      K          -2           1
  -2.49216928677568      K           2           2
  -4.31603737738596      K          -2           2
  -46.2519359821386      K           4           0
  8.848752330848562E-002 K           4           1
 -0.153321570692692      K          -4           1
  0.643250171027407      K           4           2
   1.11332156590578      K          -4           2
   77.1580361623587      K           4           3
 -3.378005058957815E-002 K          -4           3
  8.247889441511327E-002 K           4           4
 -0.141420207456577      K          -4           4
   4.42775717596816      K           6           0
  4.219926417529098E-002 K           6           1
 -7.310622270457788E-002 K          -6           1
  2.264170585294999E-002 K           6           2
  3.919647021008250E-002 K          -6           2
  -3.31118746854371      K           6           3
  1.449126306436157E-003 K          -6           3
 -0.158825909385025      K           6           4
  0.275423125411604      K          -6           4
 -0.141470689058829      K           6           5
 -0.244582975301676      K          -6           5
   83.2936691074609      K           6           6
 -7.292066890961188E-002 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -303.084419033078      K           2           0
   2.57916111724494      K           2           1
  -4.46122029691766      K          -2           1
  -2.49267697657445      K           2           2
  -4.31698049213510      K          -2           2
  -46.2518592798310      K           4           0
 -8.858748188318853E-002 K           4           1
  0.153487949496215      K          -4           1
  0.643309826431800      K           4           2
   1.11343440992658      K          -4           2
  -77.1618390891405      K           4           3
  3.378040979393784E-002 K          -4           3
  8.244128314061377E-002 K           4           4
 -0.141390135551956      K          -4           4
   4.42773177338407      K           6           0
 -4.220157057210966E-002 K           6           1
  7.311107680348941E-002 K          -6           1
  2.263871849824600E-002 K           6           2
  3.919124432997440E-002 K          -6           2
   3.31110297824744      K           6           3
 -1.449829952439529E-003 K          -6           3
 -0.158842956267416      K           6           4
  0.275454434912653      K          -6           4
  0.141515611531636      K           6           5
  0.244659356969982      K          -6           5
   83.2936829914403      K           6           6
 -7.292087388984976E-002 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -278.018940852000      K           2           0
  3.652980301340590E-003 K           2           1
 -4.789410141990386E-003 K          -2           1
  -5.48983731132368      K           2           2
  -9.50354362092715      K          -2           2
  -45.5016700931401      K           4           0
  1.042357141839414E-004 K           4           1
 -1.774751675236269E-004 K          -4           1
  0.140486286579661      K           4           2
  0.243158157471433      K          -4           2
  3.578914920447293E-003 K           4           3
 -1.801987409673966E-006 K          -4           3
 -0.709853607834179      K           4           4
   1.23278632791198      K          -4           4
   4.76033931117850      K           6           0
  5.163433781659076E-006 K           6           1
 -9.397117097630058E-006 K          -6           1
 -1.471777018309691E-003 K           6           2
 -2.547214176789904E-003 K          -6           2
  1.104499870921492E-005 K           6           3
  1.706954629742432E-007 K          -6           3
 -0.179833176088905      K           6           4
  0.311844172870604      K          -6           4
 -1.804073138038285E-005 K           6           5
 -3.231646303150472E-005 K          -6           5
   84.5283414846784      K           6           6
 -7.400182242066876E-002 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -205.147204157517      K           2           0
  3.370128331368435E-003 K           2           1
 -5.832613293738683E-003 K          -2           1
  -5.73489840900457      K           2           2
  -9.93230576907516      K          -2           2
  -48.4613350238104      K           4           0
  1.134767342843912E-004 K           4           1
 -2.055700376882723E-004 K          -4           1
  0.844850717489873      K           4           2
   1.46251305350521      K          -4           2
  3.430324402134289E-004 K           4           3
  6.709772941392813E-006 K          -4           3
   1.85411447227896      K           4           4
  -3.20860380193570      K          -4           4
   8.35420737137675      K           6           0
  2.898526835566187E-006 K           6           1
 -4.685099667146509E-006 K          -6           1
 -0.103880664754416      K           6           2
 -0.179814988138214      K          -6           2
  1.600128280140559E-005 K           6           3
  1.268762914009143E-007 K          -6           3
 -0.188895481527931      K           6           4
  0.327468367099247      K          -6           4
 -2.016484726051267E-005 K           6           5
 -3.560020690301336E-005 K          -6           5
   183.521961003645      K           6           6
 -0.160657724446010      K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   24.9957149965374      K           2           0
  4.149185744941486E-003 K           2           1
 -7.036953358231542E-003 K          -2           1
  -2.49927936368233      K           2           2
  -4.32293999894264      K          -2           2
  -2.38565174244077      K           4           0
 -3.320715920859343E-005 K           4           1
  5.594922097329567E-005 K          -4           1
 -0.106245535307731      K           4           2
 -0.183885971433365      K          -4           2
 -1.807086326330543E-003 K           4           3
  3.805999118825700E-006 K          -4           3
  -1.04220095860273      K           4           4
   1.80839225253774      K          -4           4
  -1.78144589161290      K           6           0
  4.102607500535133E-006 K           6           1
