 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -27.9799538188176      K           2           0
   1.87662400528489      K           2           1
  -3.22004301573475      K          -2           1
  -5.00719078951761      K           2           2
  -8.71646608137138      K          -2           2
  -39.0849683448236      K           4           0
 -0.591608155805634      K           4           1
   1.02391511465084      K          -4           1
 -0.466744384168633      K           4           2
 -0.806518763932130      K          -4           2
  -5.12011695981451      K           4           3
  1.764083140084962E-003 K          -4           3
 -0.834038824151379      K           4           4
   1.44623851128218      K          -4           4
   9.95803397084495      K           6           0
  2.430779421199055E-002 K           6           1
 -4.198539015063914E-002 K          -6           1
 -1.990823719982851E-002 K           6           2
 -3.516792965820534E-002 K          -6           2
  -2.34641768082843      K           6           3
 -7.748332124654780E-005 K          -6           3
 -6.207637439885048E-002 K           6           4
  0.107641901845408      K          -6           4
 -0.140652392497065      K           6           5
 -0.243979124747089      K          -6           5
   231.020903922445      K           6           6
 -1.509627601490920E-004 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -27.9743307561596      K           2           0
  -1.88978296977285      K           2           1
   3.24503879145033      K          -2           1
  -5.01500658093349      K           2           2
  -8.71079402187957      K          -2           2
  -39.0849652812714      K           4           0
  0.589506112251470      K           4           1
  -1.02154130102461      K          -4           1
 -0.465777936829229      K           4           2
 -0.806729261503736      K          -4           2
   5.11440286620477      K           4           3
 -1.724635501441520E-003 K          -4           3
 -0.833362229830030      K           4           4
   1.44585998563080      K          -4           4
   9.95802696259135      K           6           0
 -2.434614885676786E-002 K           6           1
  4.214763924990355E-002 K          -6           1
 -1.993197733548761E-002 K           6           2
 -3.505721491967886E-002 K          -6           2
   2.34670829231612      K           6           3
 -1.165482118325832E-005 K          -6           3
 -6.198751256679069E-002 K           6           4
  0.107363980907365      K          -6           4
  0.141154950520586      K           6           5
  0.245419626758713      K          -6           5
   231.021170087960      K           6           6
 -2.616188551586848E-004 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -14.7790435999734      K           2           0
 -3.159190870127540E-002 K           2           1
  5.824480477016168E-002 K          -2           1
  -4.65982784398581      K           2           2
  -8.10584986392523      K          -2           2
  -39.3065816815146      K           4           0
 -2.919528643825780E-003 K           4           1
  5.747989256241402E-003 K          -4           1
 -0.698956960950499      K           4           2
  -1.21680110934066      K          -4           2
 -2.884309666643884E-004 K           4           3
 -6.010887111416271E-005 K          -4           3
  -1.50682634807792      K           4           4
   2.60870364089255      K          -4           4
   10.2117846536913      K           6           0
  1.720239915857101E-004 K           6           1
 -3.370849281356048E-004 K          -6           1
  1.598150768147062E-002 K           6           2
  2.737136627363736E-002 K          -6           2
  3.175358660720820E-004 K           6           3
  8.064598424721792E-005 K          -6           3
 -2.797084869217671E-002 K           6           4
  4.912314355201762E-002 K          -6           4
  2.575621753031755E-004 K           6           5
  3.268862025481212E-004 K          -6           5
   230.835734995546      K           6           6
 -7.275767477809105E-005 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -15.3310940738030      K           2           0
 -2.084917522206974E-002 K           2           1
  3.999218437468789E-002 K          -2           1
  -5.30198986397978      K           2           2
  -9.20921512152842      K          -2           2
  -39.9529045780266      K           4           0
  1.332097358964131E-003 K           4           1
 -1.671704358417832E-003 K          -4           1
  0.184218415550263      K           4           2
  0.317650783584941      K          -4           2
 -6.067968295770204E-003 K           4           3
 -6.142958371159014E-004 K          -4           3
  0.100347987531170      K           4           4
 -0.169971032318823      K          -4           4
   9.66740997489854      K           6           0
 -8.642244837536929E-006 K           6           1
 -8.227512402812186E-005 K          -6           1
 -8.108096675631300E-002 K           6           2
 -0.140193519054040      K          -6           2
 -2.902811776693768E-004 K           6           3
  7.553777912463642E-005 K          -6           3
 -5.487930304917531E-002 K           6           4
  9.683511348630411E-002 K          -6           4
 -3.471756947087965E-004 K           6           5
 -1.002806815695787E-003 K          -6           5
   226.749313407146      K           6           6
 -8.083164787703170E-005 K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -78.8266929339597      K           2           0
 -1.257048151772924E-002 K           2           1
  2.396515846766242E-002 K          -2           1
  -5.71123928945689      K           2           2
  -9.95373751753423      K          -2           2
  -13.3768372454876      K           4           0
  3.186431537410067E-004 K           4           1
 -5.797102637537489E-004 K          -4           1
  0.489376520611110      K           4           2
  0.847701857118008      K          -4           2
  3.983876287150467E-003 K           4           3
 -1.869415416645915E-005 K          -4           3
  0.403057794245709      K           4           4
 -0.696223839165965      K          -4           4
  -3.06973546161254      K           6           0
