 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -301.229491372604      K           2           0
  -3.00316581270410      K           2           1
   5.33210075487207      K          -2           1
  -1.43015667987130      K           2           2
  -2.62072913931632      K          -2           2
  -46.2610586031697      K           4           0
  -1.03849899037393      K           4           1
   1.69158469829557      K          -4           1
 -0.157994337492417      K           4           2
 -0.148359810998114      K          -4           2
   106.496785219128      K           4           3
 -4.452562963538308E-002 K          -4           3
  0.599754579698523      K           4           4
  -1.08428766924747      K          -4           4
   3.85260177220577      K           6           0
 -0.139269663267136      K           6           1
  0.238733096966734      K          -6           1
  1.543879506175103E-002 K           6           2
  2.148708229564635E-002 K          -6           2
  -5.71027418395436      K           6           3
 -3.033052069667488E-004 K          -6           3
  8.548986829576351E-002 K           6           4
 -0.145541185317397      K          -6           4
  0.539942721711143      K           6           5
  0.934190380588896      K          -6           5
   77.4159872550521      K           6           6
  3.198451048168393E-003 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -301.223560384829      K           2           0
   3.00720780584442      K           2           1
  -5.34184634063049      K          -2           1
  -1.44387987288292      K           2           2
  -2.59027119128036      K          -2           2
  -46.2611491513510      K           4           0
   1.03855179337880      K           4           1
  -1.69164714481269      K          -4           1
 -0.158180676035691      K           4           2
 -0.148477918678281      K          -4           2
  -106.495787207039      K           4           3
  4.453285448143253E-002 K          -4           3
  0.599749197265193      K           4           4
  -1.08365082774748      K          -4           4
   3.85260602351390      K           6           0
  0.139265875216513      K           6           1
 -0.238718545862201      K          -6           1
  1.543298913093729E-002 K           6           2
  2.150247427266882E-002 K          -6           2
   5.71027309767079      K           6           3
  3.034417389752998E-004 K          -6           3
  8.546545982737068E-002 K           6           4
 -0.145598538375033      K          -6           4
 -0.539935900534670      K           6           5
 -0.934179250710437      K          -6           5
   77.4159993075683      K           6           6
  3.197807009516292E-003 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -290.914354365640      K           2           0
  2.103325174718104E-003 K           2           1
 -2.363717830510833E-003 K          -2           1
  -5.44262955225043      K           2           2
  -9.41962463491231      K          -2           2
  -44.2463884361340      K           4           0
  1.777044707496985E-005 K           4           1
 -2.062805855981437E-005 K          -4           1
  0.736764250429015      K           4           2
   1.27048996952028      K          -4           2
 -8.032522671157814E-005 K           4           3
 -1.341614478269615E-006 K          -4           3
  0.541844399069985      K           4           4
 -0.927860193646011      K          -4           4
   4.35853208368721      K           6           0
 -6.300673403542989E-007 K           6           1
  2.958032131884001E-006 K          -6           1
  0.155074906087960      K           6           2
  0.269888714549441      K          -6           2
 -1.494820933106702E-006 K           6           3
  1.995766140949096E-009 K          -6           3
  0.201808746726971      K           6           4
 -0.352313823614672      K          -6           4
 -5.376223703403712E-006 K           6           5
 -1.331761865350775E-005 K          -6           5
   81.7179649118944      K           6           6
 -1.735943722609244E-003 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -191.789553758885      K           2           0
 -3.163283261502898E-003 K           2           1
  1.139649595048230E-002 K          -2           1
  0.286920849328708      K           2           2
  -1.25295999890869      K          -2           2
  -48.4729033627055      K           4           0
 -1.585491097671438E-004 K           4           1
 -8.082515059026309E-005 K          -4           1
 -0.580760693165813      K           4           2
 -0.879579340455881      K          -4           2
 -1.503161726960181E-003 K           4           3
 -2.370928788191731E-005 K          -4           3
 -3.883307757851343E-002 K           4           4
   1.57494986802450      K          -4           4
   8.29785215730471      K           6           0
 -2.806856326342565E-006 K           6           1
 -9.533741173523004E-006 K          -6           1
 -0.110608762590000      K           6           2
 -9.585631622654993E-002 K          -6           2
  3.231488110237684E-006 K           6           3
 -6.744467699769465E-008 K          -6           3
  0.225706613868955      K           6           4
 -0.145177099437396      K          -6           4
 -3.923678866131129E-005 K           6           5
  1.777367668081912E-006 K          -6           5
   189.624213774340      K           6           6
 -0.311917252554055      K          -6           6
f ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   11.9397789599200      K           2           0
 -1.031076785207395E-002 K           2           1
 -6.176115242237929E-003 K          -2           1
 -0.439645696079289      K           2           2
 -0.779344610664295      K          -2           2
  1.825207564717343E-002 K           4           0
 -4.285773254386928E-005 K           4           1
 -8.677341040509296E-005 K          -4           1
  0.439034115695569      K           4           2
  0.784910046207438      K          -4           2
  2.948219791623790E-004 K           4           3
 -1.312515891611685E-005 K          -4           3
 -0.736789635126637      K           4           4
   1.24025997613443      K          -4           4
  -2.98417616554382      K           6           0
 -1.834842170712958E-005 K           6           1
  1.782912788670168E-005 K          -6           1
