 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -293.577493098797      K           2           0
 -0.277372071388136      K           2           1
  0.468833420424105      K          -2           1
   4.58022263612633      K           2           2
   7.93607316970333      K          -2           2
  -42.3300807219143      K           4           0
 -3.756144167512001E-002 K           4           1
  6.509699163492549E-002 K          -4           1
  0.702616193417807      K           4           2
   1.21761720202693      K          -4           2
  0.324103980504179      K           4           3
  4.245442834711967E-005 K          -4           3
  -1.59557566971935      K           4           4
   2.76374995278453      K          -4           4
   4.52850503605113      K           6           0
  2.559525150832329E-003 K           6           1
 -4.403919189071354E-003 K          -6           1
 -2.197669242003584E-002 K           6           2
 -3.792690883426808E-002 K          -6           2
 -1.642043607533081E-003 K           6           3
  1.039377853637907E-006 K          -6           3
  3.820404361236300E-002 K           6           4
 -6.689308186542973E-002 K          -6           4
  5.339546469517988E-003 K           6           5
  9.350136387598691E-003 K          -6           5
   84.2301066358197      K           6           6
 -3.197353901499895E-003 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -293.580881825990      K           2           0
 -0.258674882260321      K           2           1
  0.466709031553933      K          -2           1
   4.58131565127104      K           2           2
   7.93702419847424      K          -2           2
  -42.3300303152341      K           4           0
 -3.760764039825375E-002 K           4           1
  6.505348016635230E-002 K          -4           1
  0.703086965565542      K           4           2
   1.21729767182135      K          -4           2
  0.323691610586293      K           4           3
 -4.865552479076334E-005 K          -4           3
  -1.59397662715213      K           4           4
   2.76471833641072      K          -4           4
   4.52850343907805      K           6           0
  2.527942779055779E-003 K           6           1
 -4.406910231908676E-003 K          -6           1
 -2.185352910008370E-002 K           6           2
 -3.799774951046244E-002 K          -6           2
 -1.649077900400457E-003 K           6           3
 -2.538480338547554E-008 K          -6           3
  3.876321026556134E-002 K           6           4
 -6.657623433027902E-002 K          -6           4
  5.441611940403883E-003 K           6           5
  9.340656208556722E-003 K          -6           5
   84.2300737287691      K           6           6
 -3.948137632993404E-003 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   40.0572967111172      K           2           0
 -0.366406279826231      K           2           1
  0.621872148104663      K          -2           1
 -0.817230658823030      K           2           2
  -1.41756151013452      K          -2           2
   3.05032873716617      K           4           0
  2.448978521273553E-002 K           4           1
 -4.239328472199098E-002 K          -4           1
 -0.407971764309571      K           4           2
 -0.707185970938549      K          -4           2
  2.203183818183536E-002 K           4           3
 -2.500595686278415E-005 K          -4           3
  -1.25779185061399      K           4           4
   2.18003130207861      K          -4           4
 -0.835973703954821      K           6           0
  2.770812485098127E-003 K           6           1
 -4.776972727192720E-003 K          -6           1
 -2.952593532214497E-004 K           6           2
 -7.640116688369139E-004 K          -6           2
 -2.559867914944876E-003 K           6           3
 -9.665532314779236E-007 K          -6           3
  2.109477172710549E-002 K           6           4
 -3.651489705913488E-002 K          -6           4
  4.483393915304974E-003 K           6           5
  7.891841254268729E-003 K          -6           5
   74.0472156511777      K           6           6
 -3.453747319830312E-003 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   40.0624189542086      K           2           0
 -0.354724620717973      K           2           1
  0.620148734486619      K          -2           1
 -0.817726859222846      K           2           2
  -1.41801354808486      K          -2           2
   3.05029353091903      K           4           0
  2.449011682481370E-002 K           4           1
 -4.239564265110637E-002 K          -4           1
 -0.408459029380009      K           4           2
 -0.706996753792309      K          -4           2
  2.211186120140787E-002 K           4           3
 -6.244402686267377E-006 K          -4           3
  -1.25803748053549      K           4           4
   2.17994416526427      K          -4           4
 -0.835970935567852      K           6           0
  2.756051068212503E-003 K           6           1
 -4.780074321373041E-003 K          -6           1
 -5.123116967041306E-004 K           6           2
 -6.332311021935792E-004 K          -6           2
 -2.562757580483261E-003 K           6           3
  4.370899167846712E-006 K          -6           3
  2.105056655445776E-002 K           6           4
 -3.654179915097285E-002 K          -6           4
  4.556219671766850E-003 K           6           5
  7.868056959332482E-003 K          -6           5
   74.0472518878142      K           6           6
 -2.829430038858979E-003 K          -6           6
