 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -99.8596570093617      K           1           0
  2.810589491591506E-006 K           1           1
 -2.031783713960284E-006 K          -1           1
  -31.7152665881699      K           2           0
  1.550851705012813E-005 K           2           1
  1.514825175679655E-005 K          -2           1
   4.23211422291214      K           2           2
   7.33350344590749      K          -2           2
   93.4411415472681      K           3           0
 -1.738199414554647E-007 K           3           1
  5.472711014880273E-007 K          -3           1
 -0.554597087254815      K           3           2
 -0.972687204005096      K          -3           2
 -3.194957576906647E-007 K           3           3
 -1.198367427635709E-006 K          -3           3
  -33.3046845304819      K           4           0
 -2.643713335057012E-006 K           4           1
 -8.069974722088226E-007 K          -4           1
  -1.27269930301937      K           4           2
  -2.20866430766299      K          -4           2
  1.734247229095695E-007 K           4           3
 -5.106882615705419E-006 K          -4           3
  0.410002341347200      K           4           4
 -0.703900275722489      K          -4           4
   10.8369306201284      K           5           0
 -1.067800805168729E-007 K           5           1
  1.942435701115824E-008 K          -5           1
  0.160738298744340      K           5           2
  0.282361835562778      K          -5           2
 -1.105194476160444E-007 K           5           3
 -3.920052563412517E-007 K          -5           3
  0.161640472159342      K           5           4
 -0.280210497809891      K          -5           4
 -1.252794644335497E-007 K           5           5
 -6.042661734112468E-008 K          -5           5
   7.68438659188990      K           6           0
 -1.686111803646360E-007 K           6           1
 -6.791064312706208E-008 K          -6           1
 -4.235150076379471E-002 K           6           2
 -7.366348946411073E-002 K          -6           2
  1.173393230675319E-007 K           6           3
 -5.556954137710489E-008 K          -6           3
 -9.623007639938522E-002 K           6           4
  0.166686004532215      K          -6           4
  2.800512955192134E-006 K           6           5
 -1.531919948180991E-006 K          -6           5
  -198.427942987943      K           6           6
  1.831724811342638E-005 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  8.689953453808142E-003 K           1           0
 -4.554109059070833E-007 K           1           1
 -5.996663818210680E-007 K          -1           1
  -156.839723712223      K           2           0
  4.691283164312328E-007 K           2           1
  1.277127160502498E-006 K          -2           1
   3.02434788352783      K           2           2
   5.23923144360930      K          -2           2
 -1.404398770685154E-003 K           3           0
  1.599921548345805E-007 K           3           1
 -2.338293211426465E-007 K          -3           1
 -6.504933980891725E-003 K           3           2
 -1.113281898628778E-002 K          -3           2
 -5.029871050241740E-007 K           3           3
  7.871392533216917E-007 K          -3           3
  -43.3873056268153      K           4           0
 -3.058451934349950E-007 K           4           1
 -1.231516997049209E-007 K          -4           1
 -0.802350216702523      K           4           2
  -1.38991885454958      K          -4           2
  1.228216914964959E-007 K           4           3
  8.360036786747058E-008 K          -4           3
 -0.228455151232762      K           4           4
  0.401973321993484      K          -4           4
  5.451706906735110E-004 K           5           0
  1.944817987887723E-008 K           5           1
  1.576642465238762E-008 K          -5           1
 -1.142153472609389E-003 K           5           2
 -2.141703672694206E-003 K          -5           2
  2.034523946083402E-008 K           5           3
  3.123037113603562E-007 K          -5           3
  1.795653052886200E-003 K           5           4
 -2.826502953189932E-003 K          -5           4
  3.132766348287749E-008 K           5           5
  4.717494827086038E-009 K          -5           5
   8.92697024817637      K           6           0
  8.768733808007947E-012 K           6           1
  1.163305876776217E-008 K          -6           1
 -4.057062436917128E-002 K           6           2
 -7.026742905157098E-002 K          -6           2
  3.216880572645933E-009 K           6           3
 -1.137818667781172E-008 K          -6           3
 -6.310837326364320E-002 K           6           4
  0.109213894844668      K          -6           4
  1.904280263953863E-008 K           6           5
  3.323010330771692E-009 K          -6           5
  -199.407047933325      K           6           6
 -1.042038716898101E-005 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   99.8964280441613      K           1           0
 -3.227813336978976E-006 K           1           1
  1.297556856400579E-006 K          -1           1
  -31.7045355487587      K           2           0
  7.166429444325326E-006 K           2           1
  1.229636933599146E-005 K          -2           1
   4.23762506648101      K           2           2
   7.33833385856414      K          -2           2
  -93.4436363247680      K           3           0
  1.143475217647990E-006 K           3           1
  4.023361175910197E-007 K          -3           1
  0.564782063742381      K           3           2
  0.966120411468755      K          -3           2
  1.030299633083882E-006 K           3           3
 -5.378376154832833E-007 K          -3           3
  -33.3053642367575      K           4           0
 -2.333691042839440E-006 K           4           1
 -2.355177685560144E-007 K          -4           1
  -1.27745344521514      K           4           2
  -2.20875794402687      K          -4           2
  1.204717769604455E-006 K           4           3
 -4.034744611467528E-006 K          -4           3
  0.416559462555452      K           4           4
 -0.713924287468290      K          -4           4
  -10.8375132444851      K           5           0
  3.076422118113043E-007 K           5           1
  1.089987824462342E-007 K          -5           1
 -0.164093184202155      K           5           2
 -0.280236133957174      K          -5           2
  2.522932682685386E-008 K           5           3
 -3.828064691311112E-007 K          -5           3
 -0.163080286864925      K           5           4
  0.282064785396351      K          -5           4
  1.615427697729888E-007 K           5           5
 -2.102403440617329E-008 K          -5           5
   7.68448580409440      K           6           0
 -2.008834931525664E-007 K           6           1
 -8.360369588137201E-008 K          -6           1
 -4.254596599025515E-002 K           6           2
 -7.337757181537299E-002 K          -6           2
  7.965374660726504E-008 K           6           3
 -1.890839622789178E-007 K          -6           3
 -9.617784726770259E-002 K           6           4
  0.166335890747645      K          -6           4
  2.828150133666308E-006 K           6           5
 -1.474665773819042E-006 K          -6           5
  -198.428751193770      K           6           6
 -4.234592749568471E-005 K          -6           6
