 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -31.7152665881699      K           2           0
  1.550851705012813E-005 K           2           1
  1.514825175679655E-005 K          -2           1
   4.23211422291214      K           2           2
   7.33350344590749      K          -2           2
  -33.3046845304819      K           4           0
 -2.643713335057012E-006 K           4           1
 -8.069974722088226E-007 K          -4           1
  -1.27269930301937      K           4           2
  -2.20866430766299      K          -4           2
  1.734247229095695E-007 K           4           3
 -5.106882615705419E-006 K          -4           3
  0.410002341347200      K           4           4
 -0.703900275722489      K          -4           4
   7.68438659188990      K           6           0
 -1.686111803646360E-007 K           6           1
 -6.791064312706208E-008 K          -6           1
 -4.235150076379471E-002 K           6           2
 -7.366348946411073E-002 K          -6           2
  1.173393230675319E-007 K           6           3
 -5.556954137710489E-008 K          -6           3
 -9.623007639938522E-002 K           6           4
  0.166686004532215      K          -6           4
  2.800512955192134E-006 K           6           5
 -1.531919948180991E-006 K          -6           5
  -198.427942987943      K           6           6
  1.831724811342638E-005 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -156.839723712223      K           2           0
  4.691283164312328E-007 K           2           1
  1.277127160502498E-006 K          -2           1
   3.02434788352783      K           2           2
   5.23923144360930      K          -2           2
  -43.3873056268153      K           4           0
 -3.058451934349950E-007 K           4           1
 -1.231516997049209E-007 K          -4           1
 -0.802350216702523      K           4           2
  -1.38991885454958      K          -4           2
  1.228216914964959E-007 K           4           3
  8.360036786747058E-008 K          -4           3
 -0.228455151232762      K           4           4
  0.401973321993484      K          -4           4
   8.92697024817637      K           6           0
  8.768733808007947E-012 K           6           1
  1.163305876776217E-008 K          -6           1
 -4.057062436917128E-002 K           6           2
 -7.026742905157098E-002 K          -6           2
  3.216880572645933E-009 K           6           3
 -1.137818667781172E-008 K          -6           3
 -6.310837326364320E-002 K           6           4
  0.109213894844668      K          -6           4
  1.904280263953863E-008 K           6           5
  3.323010330771692E-009 K          -6           5
  -199.407047933325      K           6           6
 -1.042038716898101E-005 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -31.7045355487587      K           2           0
  7.166429444325326E-006 K           2           1
  1.229636933599146E-005 K          -2           1
   4.23762506648101      K           2           2
   7.33833385856414      K          -2           2
  -33.3053642367575      K           4           0
 -2.333691042839440E-006 K           4           1
 -2.355177685560144E-007 K          -4           1
  -1.27745344521514      K           4           2
  -2.20875794402687      K          -4           2
  1.204717769604455E-006 K           4           3
 -4.034744611467528E-006 K          -4           3
  0.416559462555452      K           4           4
 -0.713924287468290      K          -4           4
   7.68448580409440      K           6           0
 -2.008834931525664E-007 K           6           1
 -8.360369588137201E-008 K          -6           1
 -4.254596599025515E-002 K           6           2
 -7.337757181537299E-002 K          -6           2
  7.965374660726504E-008 K           6           3
 -1.890839622789178E-007 K          -6           3
 -9.617784726770259E-002 K           6           4
  0.166335890747645      K          -6           4
  2.828150133666308E-006 K           6           5
 -1.474665773819042E-006 K          -6           5
  -198.428751193770      K           6           6
 -4.234592749568471E-005 K          -6           6
