 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
 -3.294479001947154E-002 K           1           0
 -0.768607641691258      K           1           1
  0.625291115008888      K          -1           1
  -270.557864231420      K           2           0
 -0.151657894367662      K           2           1
  5.860854819379033E-002 K          -2           1
   87.7103411815625      K           2           2
   24.3344265252845      K          -2           2
  1.990474616805184E-003 K           3           0
  -1.14919170895906      K           3           1
  0.656487638350452      K          -3           1
 -5.563104390780564E-003 K           3           2
 -1.598204690145369E-005 K          -3           2
  5.090688904304499E-002 K           3           3
   1.35928969967722      K          -3           3
  -44.6915291671956      K           4           0
  9.122092897381121E-002 K           4           1
  1.904009059806026E-002 K          -4           1
  -2.55972237358730      K           4           2
   27.1112994315550      K          -4           2
  0.210200662924019      K           4           3
 -0.401077245774744      K          -4           3
  -5.42148927970000      K           4           4
  -47.5983632196919      K          -4           4
  3.138489169946988E-005 K           5           0
  8.011012544324023E-002 K           5           1
 -4.815781350824005E-002 K          -5           1
  3.284105818420304E-004 K           5           2
 -4.064842460402986E-004 K          -5           2
 -1.085653603160098E-003 K           5           3
  0.254287488349894      K          -5           3
 -1.407896762963167E-003 K           5           4
 -6.396727347449395E-005 K          -5           4
  2.497458465923124E-002 K           5           5
  1.650463527440393E-002 K          -5           5
   6.96307068911021      K           6           0
 -2.755405124466221E-003 K           6           1
 -3.409686509277104E-003 K          -6           1
   5.35087670355601      K           6           2
  -4.52803947694796      K          -6           2
  2.621119427441218E-003 K           6           3
 -7.644824633070375E-003 K          -6           3
  -17.6157449352587      K           6           4
  -25.6430207388105      K          -6           4
  1.160966597512677E-002 K           6           5
  8.717555242167144E-003 K          -6           5
  -137.412703072693      K           6           6
   1.13994821317221      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  3.148381087587246E-002 K           1           0
  -1.03189731533048      K           1           1
  0.800958295616038      K          -1           1
  -276.427854182989      K           2           0
 -0.200275696396152      K           2           1
  0.630943544506965      K          -2           1
   87.1064066682649      K           2           2
  -16.2023741117923      K          -2           2
 -2.760407958105816E-003 K           3           0
  -1.18968829571985      K           3           1
  0.809114238754369      K          -3           1
 -4.970531539206073E-003 K           3           2
 -1.399895527445114E-002 K          -3           2
  5.351002402797497E-003 K           3           3
   1.59313003926268      K          -3           3
  -44.4108431879591      K           4           0
 -4.979970155058479E-002 K           4           1
 -3.964146763064085E-003 K          -4           1
  -4.16638152491788      K           4           2
  -26.2045419943720      K          -4           2
  0.165475403756447      K           4           3
 -0.252108492639085      K          -4           3
  -5.93565696000520      K           4           4
   52.6815197640600      K          -4           4
 -1.952326346889679E-004 K           5           0
  0.134260163330558      K           5           1
 -7.627043702134736E-002 K          -5           1
 -1.408561604207472E-003 K           5           2
  4.508769736456748E-004 K          -5           2
  1.871708981979475E-003 K           5           3
  0.331747999975378      K          -5           3
  1.512437244448136E-003 K           5           4
  6.092963087266573E-004 K          -5           4
  5.160472482518080E-002 K           5           5
  5.973993008089011E-002 K          -5           5
   6.95927333502080      K           6           0
  6.829369395061523E-004 K           6           1
 -1.586752775303041E-004 K          -6           1
   5.38458287842979      K           6           2
   4.45251705399545      K          -6           2
 -8.074668475527607E-004 K           6           3
 -2.873250657940848E-003 K          -6           3
  -17.6154877786146      K           6           4
   25.5592520793649      K          -6           4
 -6.218490494267758E-003 K           6           5
 -5.907528864569939E-003 K          -6           5
  -137.213415316787      K           6           6
  -1.14114206749476      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
 -3.485175145787003E-002 K           1           0
 -0.219844247585797      K           1           1
  4.802934539858390E-002 K          -1           1
  -275.803974189186      K           2           0
 -0.170673646403271      K           2           1
  0.623154218701430      K          -2           1
   88.2260660101868      K           2           2
  -17.3829616578262      K          -2           2
  5.071683219970835E-003 K           3           0
  9.114164751142438E-002 K           3           1
 -5.184380741038602E-002 K          -3           1
 -1.789640117815515E-003 K           3           2
  1.221115329140303E-002 K          -3           2
 -2.118421911523877E-002 K           3           3
 -0.216892408092758      K          -3           3
  -44.4832411301402      K           4           0
 -4.983106329380842E-002 K           4           1
 -8.192452321954707E-003 K          -4           1
  -3.81354611955092      K           4           2
  -26.8633205833441      K          -4           2
  0.169723710108240      K           4           3
 -0.237755985723124      K          -4           3
  -6.00155560634672      K           4           4
   51.9902416617571      K          -4           4
  7.759107912555635E-005 K           5           0
  5.931999103379246E-003 K           5           1
 -5.861649274904139E-003 K          -5           1
  1.724976064781629E-003 K           5           2
  5.730280816853475E-004 K          -5           2
 -5.953894270142140E-003 K           5           3
 -2.060382538098897E-003 K          -5           3
 -2.517550583909477E-003 K           5           4
 -9.036301497410233E-004 K          -5           4
  8.411191281718510E-003 K           5           5
