 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.761407771946      K           2           0
  0.257669907840723      K           2           1
  0.278593131840934      K          -2           1
 -8.768066014160230E-003 K           2           2
  -848.463507683960      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -57.5547507771566      K           4           0
  4.943708166356796E-003 K           4           1
  4.566754628713558E-003 K          -4           1
 -4.520282268555328E-004 K           4           2
   107.848645323908      K          -4           2
  0.136846838359828      K           4           3
 -0.155267068512704      K          -4           3
  -153.101109490958      K           4           4
  1.706666118178322E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -3.77177119406693      K           6           0
  2.749147433267179E-003 K           6           1
  2.871279974157884E-003 K          -6           1
  1.048639132082330E-004 K           6           2
  -7.37649603613955      K          -6           2
 -5.982357839420510E-003 K           6           3
  5.985416414598702E-003 K          -6           3
  -37.4610114035808      K           6           4
  3.099918465681061E-005 K          -6           4
  1.960028796410817E-002 K           6           5
  1.921749191501532E-002 K          -6           5
 -3.529559293706593E-005 K           6           6
   6.48478297211961      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.748941824895      K           2           0
  0.225585121723175      K           2           1
  0.244957576897764      K          -2           1
 -1.422924136626437E-003 K           2           2
  -848.488559792085      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -57.5539075051943      K           4           0
  6.564531581474291E-003 K           4           1
 -4.491715496687157E-003 K          -4           1
  1.227383189550859E-003 K           4           2
   107.840385154742      K          -4           2
  0.157531459897252      K           4           3
 -0.158549716722376      K          -4           3
  -153.102494810687      K           4           4
 -7.825181210806346E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -3.77179751465820      K           6           0
  2.600172574136133E-003 K           6           1
  2.670232353722080E-003 K          -6           1
  1.438953226552973E-004 K           6           2
  -7.37684135792692      K          -6           2
 -6.319484665387377E-003 K           6           3
  6.097526904998275E-003 K          -6           3
  -37.4607657475927      K           6           4
  9.365276336304414E-006 K          -6           4
  1.930589878123738E-002 K           6           5
  1.934714200671871E-002 K          -6           5
 -4.156746124497030E-005 K           6           6
   6.48549872547773      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.775332402097      K           2           0
 -0.113161134409289      K           2           1
 -5.718249750000039E-002 K          -2           1
 -3.416115380808745E-003 K           2           2
   847.404984539657      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -57.5745954453852      K           4           0
  5.501260803631843E-002 K           4           1
  5.794409545194259E-002 K          -4           1
 -6.949613224765179E-004 K           4           2
  -107.898123800253      K          -4           2
  0.214732999665606      K           4           3
 -0.208795173111272      K          -4           3
  -153.384206806131      K           4           4
 -1.037757242902738E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
