 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.675838930088      K           2           0
  0.141953834062923      K           2           1
  0.117744848295359      K          -2           1
  7.039003339226778E-003 K           2           2
  -836.177377322988      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -39.5561474427919      K           4           0
 -3.651568021092628E-002 K           4           1
 -3.369478548664886E-002 K          -4           1
 -3.137906833942408E-003 K           4           2
   61.7679223354920      K          -4           2
  3.977572162313019E-002 K           4           3
 -3.643187516687812E-002 K          -4           3
  -116.876643174972      K           4           4
  1.856398322485819E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.67721411909814      K           6           0
 -6.227076972817345E-004 K           6           1
 -5.758335826045164E-004 K          -6           1
  4.595185137819281E-005 K           6           2
  -3.56565867757981      K          -6           2
 -1.149017047409119E-003 K           6           3
  1.242257946437924E-003 K          -6           3
  -13.6284243653700      K           6           4
  8.120132803865333E-005 K          -6           4
  1.476465729101808E-003 K           6           5
  1.706941061436234E-003 K          -6           5
 -3.071153074444289E-005 K           6           6
   4.76158565161727      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.657544543415      K           2           0
  0.117738588735609      K           2           1
  0.101653794952121      K          -2           1
  1.243133274679487E-002 K           2           2
  -836.194765125326      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -39.5567777232901      K           4           0
 -2.632017786805448E-002 K           4           1
 -3.107049959452952E-002 K          -4           1
 -4.578628058315155E-003 K           4           2
   61.7610027694442      K          -4           2
  1.828905712777157E-002 K           4           3
 -1.418983509544562E-002 K          -4           3
  -116.871136020976      K           4           4
  1.951451253630390E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.67722125189253      K           6           0
 -5.677070555798314E-004 K           6           1
 -4.965824641860166E-004 K          -6           1
  3.263845907160494E-005 K           6           2
  -3.56593816321718      K          -6           2
 -1.199243013673611E-003 K           6           3
  1.136263790960311E-003 K          -6           3
  -13.6283468293637      K           6           4
  8.516422890351031E-005 K          -6           4
  1.928711922372127E-003 K           6           5
  1.804705914367328E-003 K          -6           5
 -5.567417426195604E-005 K           6           6
   4.76184281649035      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   351.664466764209      K           2           0
  0.240672938101071      K           2           1
  0.266426810853329      K          -2           1
 -2.900326474129532E-002 K           2           2
   835.963783352338      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -39.4967807571317      K           4           0
 -9.487722835921985E-003 K           4           1
 -1.216129471645506E-002 K          -4           1
  6.208876774054006E-003 K           4           2
  -61.7473153984403      K          -4           2
  0.175067011555656      K           4           3
 -0.196087105979038      K          -4           3
  -116.764876869672      K           4           4
  1.827370564346165E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
