 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   338.116181136706      K           2           0
 -9.169423641669652E-002 K           2           1
 -8.803236356854381E-002 K          -2           1
  2.677974494858546E-003 K           2           2
  -803.410925049918      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -35.6957720747417      K           4           0
 -2.269767053947401E-003 K           4           1
 -3.624259807068869E-003 K          -4           1
  5.490942531678597E-004 K           4           2
   54.7540106375321      K          -4           2
 -8.447870947906315E-002 K           4           3
  8.626157225355695E-002 K          -4           3
  -106.608823669482      K           4           4
  2.526379361835839E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.30180603229798      K           6           0
  2.981903519139739E-004 K           6           1
  2.889612362034936E-004 K          -6           1
 -3.240886866957242E-005 K           6           2
  -2.56898004854403      K          -6           2
  8.702524453621373E-004 K           6           3
 -8.268026530648795E-004 K          -6           3
  -10.7782688143798      K           6           4
  2.571040113214329E-005 K          -6           4
 -2.729619182237684E-003 K           6           5
 -2.591573365852592E-003 K          -6           5
 -2.978989038787058E-006 K           6           6
   3.84614209663550      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   338.111363074541      K           2           0
 -8.305384069162447E-002 K           2           1
 -8.136168396187970E-002 K          -2           1
  2.124922525040009E-003 K           2           2
  -803.415084300171      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -35.6960023027293      K           4           0
 -4.314398219663203E-003 K           4           1
 -5.483531604899491E-003 K          -4           1
  4.921562965249008E-004 K           4           2
   54.7481790134632      K          -4           2
 -7.335667686858510E-002 K           4           3
  7.570924188318529E-002 K          -4           3
  -106.609494894575      K           4           4
  2.803184005007637E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.30182176711974      K           6           0
  2.364040866558258E-004 K           6           1
  2.268176571040550E-004 K          -6           1
 -3.158887802214006E-005 K           6           2
  -2.56914521193140      K          -6           2
  9.809004967928348E-004 K           6           3
 -9.311626284232201E-004 K          -6           3
  -10.7782652116767      K           6           4
  2.853748943239142E-005 K          -6           4
 -1.911314078535791E-003 K           6           5
 -1.777739176214863E-003 K          -6           5
 -5.971618075791146E-006 K           6           6
   3.84631262374902      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   338.052502645739      K           2           0
 -0.245501079343165      K           2           1
 -0.248161397940379      K          -2           1
 -8.842748632496502E-003 K           2           2
   802.612943298250      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -35.6306292513651      K           4           0
  5.786779125868308E-002 K           4           1
  6.171710831626088E-002 K          -4           1
 -2.049651834433133E-003 K           4           2
  -54.8616143481269      K          -4           2
  0.329202095697277      K           4           3
 -0.331500825709618      K          -4           3
  -106.537932644299      K           4           4
 -1.359657544831843E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
