 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   345.786060758476      K           2           0
 -6.125032161107016E-002 K           2           1
 -4.378323722673200E-002 K          -2           1
  2.663695672341438E-003 K           2           2
  -821.303502125120      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -37.7514665011562      K           4           0
 -3.467642672161877E-002 K           4           1
 -2.970661311637146E-002 K          -4           1
  2.167162925860510E-004 K           4           2
   57.9402234631015      K          -4           2
 -5.101627326974507E-003 K           4           3
  4.789830045614034E-003 K          -4           3
  -111.951371391718      K           4           4
  3.405090314739012E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.47194756863549      K           6           0
 -3.133496116085638E-004 K           6           1
 -3.302239580661837E-004 K          -6           1
 -8.742838337516511E-005 K           6           2
  -2.98888834876708      K          -6           2
 -7.424682833043399E-004 K           6           3
  8.226201047587587E-004 K          -6           3
  -12.1786357160306      K           6           4
 -2.031714391238721E-005 K          -6           4
  2.137439010416431E-003 K           6           5
  2.711595295214698E-003 K          -6           5
  7.394172513382450E-006 K           6           6
   4.22597968739366      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   345.784538008468      K           2           0
 -6.846044656482529E-002 K           2           1
 -3.541759277282592E-002 K          -2           1
  3.589227832254158E-003 K           2           2
  -821.301327586675      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -37.7513929982454      K           4           0
 -2.973239676501266E-002 K           4           1
 -3.166384667454075E-002 K          -4           1
  3.315560153878639E-004 K           4           2
   57.9405989922508      K          -4           2
 -1.099358589489788E-002 K           4           3
  3.056807042041706E-003 K          -4           3
  -111.951588893060      K           4           4
  3.359527539040946E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.47194739619130      K           6           0
 -3.131057941350056E-004 K           6           1
 -3.799464503557301E-004 K          -6           1
 -8.804802157155614E-005 K           6           2
  -2.98888604639317      K          -6           2
 -8.262560003603316E-004 K           6           3
  7.338289964971443E-004 K          -6           3
  -12.1786430546285      K           6           4
 -2.043156200770460E-005 K          -6           4
  2.334726119424222E-003 K           6           5
  2.331996730330534E-003 K          -6           5
  6.490327162694209E-006 K           6           6
   4.22598842643773      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   344.844451813345      K           2           0
  2.282278434133291E-002 K           2           1
  3.416443404937958E-002 K          -2           1
 -6.444337321165067E-003 K           2           2
   820.801842728540      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -37.6724687467715      K           4           0
 -8.114439350365458E-003 K           4           1
 -1.335804300838694E-002 K          -4           1
 -5.157475866788256E-004 K           4           2
  -57.8866051433504      K          -4           2
  0.103701041610399      K           4           3
 -0.106499203063631      K          -4           3
  -111.872595877702      K           4           4
  3.410002852567743E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
