 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -66.5638037684471                2           0
  -47.2051485636884                2           1
   39.5713124435743                2          -1
  -314.558964170500                2           2
   42.1513261942381                2          -2
  -58.4773126718821                4           0
  -1.36530574787901                4           1
   1.10990407384115                4          -1
   45.5626740079039                4           2
  -2.33961712096887                4          -2
   10.1955319636296                4           3
   8.55420912983134                4          -3
  -34.8906974725003                4           4
  -2.12900108049038                4          -4
   3.83531788246979                6           0
  0.718920779342276                6           1
 -0.734149678925216                6          -1
  -7.30595893769883                6           2
  0.591222213956111                6          -2
   1.03855760929406                6           3
   1.14529803553677                6          -3
   1.81160186307170                6           4
 -6.796074719757450E-002           6          -4
  -5.10143509088658                6           5
   5.31244239307162                6          -5
  -10.6837437278915                6           6
   1.52347356148761                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -40.3490096219992                2           0
  -39.0754444224337                2           1
   47.3831670469585                2          -1
  -345.103086884098                2           2
   42.6271631490867                2          -2
  -60.2078467750247                4           0
  0.720364534821851                4           1
  -2.18206169856352                4          -1
   49.0163887628108                4           2
  -3.89341954608275                4          -2
   8.60593978852509                4           3
   16.0415193156384                4          -3
  -46.7855547453878                4           4
 -0.769502261214543                4          -4
   3.99874253594440                6           0
  0.680770026113086                6           1
 -0.697672817754690                6          -1
  -4.65850493418173                6           2
  0.602080995407940                6          -2
   1.09540822107414                6           3
  0.860583157559118                6          -3
  -1.59722010453484                6           4
 -0.105894337771682                6          -4
  -5.15981917640962                6           5
   6.28308415070550                6          -5
  -9.34832684318794                6           6
   1.72265197755657                6          -6
