 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   358.718638751878      K           2           0
 -8.221356896987490E-002 K           2           1
 -0.104149512312823      K          -2           1
  7.391634262348131E-003 K           2           2
  -877.296486613245      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -50.6861928357289      K           4           0
 -6.817007888392280E-003 K           4           1
  2.879170193223814E-002 K          -4           1
  2.144432283969472E-003 K           4           2
   85.3388821691181      K          -4           2
  6.351402894323094E-002 K           4           3
 -4.609029014620614E-002 K          -4           3
  -144.680422076764      K           4           4
  2.417744659730571E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.60641907604947      K           6           0
  2.869136738638308E-003 K           6           1
  2.013873845681394E-003 K          -6           1
 -4.669027776618115E-004 K           6           2
  -4.35748266117015      K          -6           2
 -2.662154690005078E-003 K           6           3
  2.066537461967866E-004 K          -6           3
  -27.0469339243031      K           6           4
  3.342611627102736E-004 K          -6           4
 -1.754827403833731E-003 K           6           5
 -1.281955031556134E-003 K          -6           5
 -1.517816168424335E-004 K           6           6
   4.88463289709880      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   358.742298794629      K           2           0
 -8.695382287553863E-002 K           2           1
 -0.124938001506611      K          -2           1
  6.190707535369874E-003 K           2           2
  -877.288032546702      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -50.6854235286226      K           4           0
  3.798367910186785E-002 K           4           1
 -4.079871923325182E-003 K          -4           1
  2.797040573667462E-003 K           4           2
   85.3444178027302      K          -4           2
  5.339403797102005E-002 K           4           3
 -6.228968883987081E-002 K          -4           3
  -144.680964784883      K           4           4
 -2.067161933031141E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.60643783528693      K           6           0
  2.087612791273903E-003 K           6           1
  2.775998824022611E-003 K          -6           1
 -4.774071880405609E-004 K           6           2
  -4.35744521181068      K          -6           2
 -4.065954240084275E-004 K           6           3
  3.062778367812441E-003 K          -6           3
  -27.0469958949223      K           6           4
  2.679798654468495E-004 K          -6           4
 -1.788209744139944E-003 K           6           5
 -1.653238326759674E-003 K          -6           5
 -9.083745146742689E-005 K           6           6
   4.88472390319984      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   359.112331945878      K           2           0
 -0.320746618734334      K           2           1
 -0.316872674559983      K          -2           1
  2.934535260071559E-002 K           2           2
   877.620504102382      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -50.6594166994297      K           4           0
 -9.750477661547477E-003 K           4           1
 -1.758524301667594E-002 K          -4           1
 -2.837263191407327E-003 K           4           2
  -85.4061515080803      K          -4           2
  0.315867795791756      K           4           3
 -0.317787616635380      K          -4           3
  -144.665259406552      K           4           4
  5.632672341815894E-005 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
