 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   362.721870856157      K           2           0
 -0.372580849027819      K           2           1
 -0.377290881514513      K          -2           1
 -2.140411140818581E-003 K           2           2
  -878.062034082535      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -53.6074836406294      K           4           0
 -1.566885211002348E-002 K           4           1
 -1.627485979373929E-002 K          -4           1
  7.282060905072595E-005 K           4           2
   93.8030436934058      K          -4           2
 -0.236338805616354      K           4           3
  0.237919805319981      K          -4           3
  -151.886419725060      K           4           4
 -4.978298586725137E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.73286721442706      K           6           0
  1.008387129728626E-003 K           6           1
  1.116669934336151E-003 K          -6           1
  1.378788371206241E-004 K           6           2
  -3.88145352708038      K          -6           2
 -6.471645709031164E-004 K           6           3
  5.968579221123346E-004 K          -6           3
  -31.2483220863503      K           6           4
 -1.095082087925997E-004 K          -6           4
 -8.441928986755550E-003 K           6           5
 -8.400736576516755E-003 K          -6           5
  3.410031427842425E-005 K           6           6
   4.01769026220232      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   362.712187622552      K           2           0
 -0.321392082054284      K           2           1
 -0.337871676385763      K          -2           1
 -2.539922955374553E-003 K           2           2
  -878.073364829665      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -53.6070004863232      K           4           0
 -1.556518486477062E-002 K           4           1
 -1.469052916816070E-002 K          -4           1
  7.306042471251060E-005 K           4           2
   93.7978564203687      K          -4           2
 -0.235096537794107      K           4           3
  0.231025123019459      K          -4           3
  -151.891517574211      K           4           4
 -4.640389143220151E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.73285905480769      K           6           0
  1.153924135765546E-003 K           6           1
  1.056770325796407E-003 K          -6           1
  1.397427174815186E-004 K           6           2
  -3.88186696303639      K          -6           2
 -7.817186140759852E-004 K           6           3
  8.384642472479705E-004 K          -6           3
  -31.2485977691991      K           6           4
 -1.062750563333491E-004 K          -6           4
 -8.076449352776138E-003 K           6           5
 -8.122559712764446E-003 K          -6           5
  3.258451045206380E-005 K           6           6
   4.01774148438450      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   363.956848915840      K           2           0
 -0.747155722351609      K           2           1
 -0.788095080247505      K          -2           1
 -1.620425594726245E-003 K           2           2
   877.983050567417      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -53.6760512586986      K           4           0
 -2.270117645730196E-002 K           4           1
 -2.445542743303949E-002 K          -4           1
 -3.432615409497821E-003 K           4           2
  -93.2710017939422      K          -4           2
  0.237300532009084      K           4           3
 -0.239456274148737      K          -4           3
  -151.845080552573      K           4           4
 -1.824815419757984E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
