 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -83.8970297893231                2           0
  -123.467923603749                2           1
   122.716018315080                2          -1
 -5.145532858804262E-002           2           2
   81.5558107826429                2          -2
  -21.7661325182596                4           0
  -7.28040053780854                4           1
   7.24707140089645                4          -1
 -7.625040566906208E-002           4           2
  -3.26327496411591                4          -2
   13.9890572878805                4           3
   13.8444082534090                4          -3
  -30.7380443249352                4           4
 -4.930597798529632E-003           4          -4
   6.06775560771053                6           0
   1.43980686124538                6           1
  -1.44925798497930                6          -1
 -9.281161240205386E-003           6           2
   1.48842715384684                6          -2
   2.18656576784749                6           3
   2.21031593141708                6          -3
   1.67586915051081                6           4
 -8.987762353936658E-004           6          -4
  -12.8461540241303                6           5
   12.9048364809248                6          -5
  2.040986746174487E-003           6           6
   3.41340224874753                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -83.8888471323586                2           0
  -123.457085694854                2           1
   122.715372989841                2          -1
 -0.109380766168130                2           2
   81.5600250907236                2          -2
  -21.7665571821282                4           0
  -7.27959204182469                4           1
   7.24883347650082                4          -1
 -7.382375435904483E-002           4           2
  -3.26246279485370                4          -2
   13.9929886899638                4           3
   13.8462967744477                4          -3
  -30.7450369185924                4           4
 -4.212854971818599E-003           4          -4
   6.06775520179033                6           0
   1.43983198092618                6           1
  -1.44918787509683                6          -1
 -9.710268573746022E-003           6           2
   1.48854674478978                6          -2
   2.18655798743053                6           3
   2.21035939669674                6          -3
   1.67589624311021                6           4
 -9.617588904427156E-004           6          -4
  -12.8463456523254                6           5
   12.9052290661534                6          -5
  1.286841735477618E-003           6           6
   3.41349410107490                6          -6
