 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -133.181319847083                2           0
  5.583384819903137E-002           2           1
  4.168419788619998E-002           2          -1
  -42.2697030991896                2           2
  0.672458954139156                2          -2
  -18.3803833371963                4           0
 -8.717639468891060E-002           4           1
 -1.703108111772884E-002           4          -1
  -8.96804127266297                4           2
 -0.183350545906558                4          -2
  7.594715867515082E-002           4           3
  6.450934391290340E-002           4          -3
   17.9818596266251                4           4
 -0.110759101101232                4          -4
   5.59719726709702                6           0
  2.549462861913512E-003           6           1
 -1.006130812514003E-003           6          -1
   1.42692789336322                6           2
  1.687719166404338E-004           6          -2
  9.588305367205814E-003           6           3
 -3.318750745944575E-003           6          -3
 -0.619614789943070                6           4
 -7.508270026310427E-005           6          -4
 -9.101622468674183E-003           6           5
  3.071058107364650E-003           6          -5
   1.53267238277636                6           6
 -5.286054758205231E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -133.159566415420                2           0
  5.335002322401397E-002           2           1
  4.724442810439294E-002           2          -1
  -42.2788300541203                2           2
  0.671519524579901                2          -2
  -18.3817282287676                4           0
 -8.710491361301365E-002           4           1
 -1.744985188983388E-002           4          -1
  -8.96321739136307                4           2
 -0.183668808777698                4          -2
  7.560205548562171E-002           4           3
  6.303253959320493E-002           4          -3
   17.9726104546694                4           4
 -0.110376739934132                4          -4
   5.59717956032645                6           0
  2.545979712868134E-003           6           1
 -1.021294128523713E-003           6          -1
   1.42743249871995                6           2
  1.525566934687219E-004           6          -2
  9.575443280097136E-003           6           3
 -3.339106756514693E-003           6          -3
 -0.619631677726141                6           4
 -6.303582147527487E-005           6          -4
 -9.104918144001670E-003           6           5
  3.077459612721099E-003           6          -5
   1.53305408772797                6           6
 -5.380769973480840E-003           6          -6
