 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -120.442031458530                2           0
 -0.250909950395957                2           1
  0.169838066774955                2          -1
  -42.1257062371989                2           2
  0.678864233380563                2          -2
  -17.9898581213352                4           0
  9.058358185390032E-003           4           1
 -0.133914583593467                4          -1
  -21.3448089798371                4           2
  0.239024072594033                4          -2
 -0.146263469298748                4           3
 -0.425518627013765                4          -3
   4.19034755654145                4           4
 -3.552430389518940E-002           4          -4
   5.54025046997763                6           0
 -2.044197626361949E-003           6           1
 -1.711001974601659E-003           6          -1
  0.822495935509036                6           2
  1.141653468184290E-002           6          -2
  5.405851060634959E-003           6           3
 -1.200784992086864E-002           6          -3
  -2.35070754253762                6           4
  5.509981609385582E-004           6          -4
 -6.258106857271833E-003           6           5
 -3.043585432566098E-002           6          -5
   1.71089591808341                6           6
 -6.383194162525822E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -120.430089853787                2           0
 -0.250621459893424                2           1
  0.175076438700036                2          -1
  -42.1670260855703                2           2
  0.677815857840300                2          -2
  -17.9897630279319                4           0
  9.017391254831945E-003           4           1
 -0.133922126776961                4          -1
  -21.3418128468712                4           2
  0.238713694712026                4          -2
 -0.146301630831996                4           3
 -0.425344497841536                4          -3
   4.19225764723257                4           4
 -3.570941534745606E-002           4          -4
   5.54023696567600                6           0
 -2.048546967203752E-003           6           1
 -1.721318619890965E-003           6          -1
  0.822017992725290                6           2
  1.141101063565326E-002           6          -2
  5.414140108437770E-003           6           3
 -1.200964104120972E-002           6          -3
  -2.35063215734281                6           4
  5.530376372989706E-004           6          -4
 -6.267371665803495E-003           6           5
 -3.041130084081852E-002           6          -5
   1.70992660259375                6           6
 -6.411123173902709E-003           6          -6
