 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -117.644595812406                2           0
   1.55732957462040                2           1
 -0.926898787564737                2          -1
   26.7664184193692                2           2
 -0.284220055970242                2          -2
  -21.4802222066991                4           0
 -0.100795141124585                4           1
  7.890794567517004E-002           4          -1
  -25.4101247490789                4           2
  4.156223390087280E-002           4          -2
  0.810970454659340                4           3
  9.242516626656959E-002           4          -3
  -7.67606097451670                4           4
 -6.544748956492415E-002           4          -4
   5.49992123471048                6           0
 -1.749982448756778E-004           6           1
  8.735595375049729E-004           6          -1
  -2.66738171160152                6           2
 -4.373281474209144E-004           6          -2
  6.422752569316697E-003           6           3
 -1.243466515571898E-002           6          -3
   4.08652860092102                6           4
 -3.422970031178180E-003           6          -4
 -4.005483831925559E-003           6           5
 -5.571328929203316E-003           6          -5
  0.852737971132621                6           6
 -1.081972937328528E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -117.678066897197                2           0
   1.55771964643943                2           1
 -0.928324905135497                2          -1
   26.7403349577925                2           2
 -0.283841943205657                2          -2
  -21.4796221063154                4           0
 -0.100772155323115                4           1
  7.891522815328657E-002           4          -1
  -25.4046909668922                4           2
  4.184338994927596E-002           4          -2
  0.810953155970697                4           3
  9.339413015730144E-002           4          -3
  -7.67176034918263                4           4
 -6.511382577814973E-002           4          -4
   5.49993983625282                6           0
 -1.800074670628215E-004           6           1
  8.775262847815416E-004           6          -1
  -2.66794866002676                6           2
 -4.511209417807454E-004           6          -2
  6.424843663778298E-003           6           3
 -1.243494165531137E-002           6          -3
   4.08648357814714                6           4
 -3.420904234550794E-003           6          -4
 -4.024707843804135E-003           6           5
 -5.596701643059182E-003           6          -5
  0.851002250960098                6           6
 -1.083715908478652E-002           6          -6
