 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -17.1400165951208                2           0
 -0.180418004917784                2           1
  0.191667700541166                2          -1
  -319.794477020567                2           2
 -0.168277597592193                2          -2
  -60.6069402349737                4           0
  1.568048775367627E-002           4           1
 -8.417161165143289E-002           4          -1
   54.9512614180819                4           2
 -6.988576449632387E-002           4          -2
 -0.143508369373586                4           3
  6.383659446901803E-002           4          -3
  -81.2094762949680                4           4
 -2.663466363591510E-002           4          -4
   3.93295062814358                6           0
 -1.094565163810248E-003           6           1
 -5.494486090390458E-003           6          -1
  -4.86447403620600                6           2
 -3.647971597894530E-003           6          -2
 -2.085017638735059E-003           6           3
  1.983534235617923E-002           6          -3
  0.267942705967108                6           4
 -3.902624802381725E-004           6          -4
 -8.098945202575850E-003           6           5
  6.049176094228485E-002           6          -5
  -10.2062121961467                6           6
 -4.282945647355387E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -17.1461085552700                2           0
 -0.180826746297068                2           1
  0.191612244898318                2          -1
  -319.768903260714                2           2
 -0.169270722978152                2          -2
  -60.6069868720858                4           0
  1.558723682605198E-002           4           1
 -8.412106183261260E-002           4          -1
   54.9510429226600                4           2
 -7.019222036538833E-002           4          -2
 -0.143671832441357                4           3
  6.379940807489592E-002           4          -3
  -81.2100915110099                4           4
 -2.701895222926421E-002           4          -4
   3.93295099871716                6           0
 -1.096199096553542E-003           6           1
 -5.493626616770132E-003           6          -1
  -4.86440321489690                6           2
 -3.649120520570074E-003           6          -2
 -2.092719600067172E-003           6           3
  1.982320218896625E-002           6          -3
  0.267904909933878                6           4
 -3.947421250475531E-004           6          -4
 -8.095563116039551E-003           6           5
  6.047132633409128E-002           6          -5
  -10.2061462994736                6           6
 -4.298059206716787E-003           6          -6
