 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -113.849245228161                2           0
  -1.15523064514478                2           1
 -0.796737223849230                2          -1
  -119.434850131163                2           2
  -21.9597940477091                2          -2
  -22.5672044915504                4           0
  3.241364176213699E-002           4           1
  2.064868604233254E-002           4          -1
   189.059470263754                4           2
   1.59073534227374                4          -2
 -0.754023717036453                4           3
  0.191713121282252                4          -3
  -121.664743365272                4           4
  0.693924230995920                4          -4
   6.80110529425857                6           0
 -4.433324533343929E-004           6           1
 -1.520454437511376E-003           6          -1
   4.62873986672133                6           2
  0.168698458331193                6          -2
 -1.590344637559593E-002           6           3
 -2.073755804818140E-003           6          -3
  -11.2568593895838                6           4
 -0.209013167222471                6          -4
 -8.581150374669846E-004           6           5
  2.019430645185797E-003           6          -5
  -9.74529853756780                6           6
  7.347586715183986E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -83.5075872907078                2           0
  0.276885313990823                2           1
 -0.290337842061901                2          -1
  -57.6856383756980                2           2
  -3.75118071366252                2          -2
  -24.5667778135643                4           0
 -1.558371020625697E-003           4           1
 -0.228311707987662                4          -1
  -2.30154411938786                4           2
   1.13687979852798                4          -2
 -0.538772620090861                4           3
  0.545801417430553                4          -3
  -28.5043248005840                4           4
  -1.69642869662415                4          -4
   5.37938487103530                6           0
 -4.008967791604311E-003           6           1
 -3.456444216386378E-003           6          -1
 -0.783866797925134                6           2
 -6.118197655595905E-002           6          -2
 -1.197567303728595E-004           6           3
 -7.611295805973511E-003           6          -3
  -6.10304637862785                6           4
 -6.833295006700076E-002           6          -4
 -2.487899065998391E-002           6           5
  2.695148343425567E-002           6          -5
  0.253932716067491                6           6
 -5.131188427551005E-002           6          -6
