 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -49.8393818445310                2           0
  -25.4785277430686                2           1
   24.8369232939107                2          -1
 -0.147779097794261                2           2
   88.8588602547070                2          -2
  -21.3203221195830                4           0
   56.9823065429911                4           1
  -57.2399791317233                4          -1
  2.480486965018874E-002           4           2
  -24.6664253755166                4          -2
   110.777929427084                4           3
   110.665991200406                4          -3
   48.6583142228112                4           4
  4.105267479211310E-002           4          -4
   5.00174347112007                6           0
  -5.37115883677376                6           1
   5.36828823822703                6          -1
  1.039009239715604E-003           6           2
  -5.39750610213508                6          -2
  -11.0780573736950                6           3
  -11.0805708036079                6          -3
  -3.15705915846610                6           4
  1.820652366555852E-003           6          -4
   41.8674965234187                6           5
  -41.8697883075254                6          -5
  1.030035069505040E-002           6           6
  -13.3984766472502                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -49.8412410672964                2           0
  -25.4761112728967                2           1
   24.8343124005166                2          -1
 -0.143939112642254                2           2
   88.8552315810549                2          -2
  -21.3203317116218                4           0
   56.9818902405211                4           1
  -57.2399230298279                4          -1
  2.517969052683881E-002           4           2
  -24.6669946018899                4          -2
   110.778603767825                4           3
   110.666480900949                4          -3
   48.6583781336442                4           4
  4.103671374544385E-002           4          -4
   5.00174445283555                6           0
  -5.37114734163414                6           1
   5.36829214241561                6          -1
  1.074227813975895E-003           6           2
  -5.39755335548849                6          -2
  -11.0780543159912                6           3
  -11.0805738473372                6          -3
  -3.15705783984285                6           4
  1.826971090271419E-003           6          -4
   41.8674707730407                6           5
  -41.8697479687514                6          -5
  1.031081844790845E-002           6           6
  -13.3984866243670                6          -6
