 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -2.27636471392979                2           0
  0.709150228730512                2           1
 -0.302133901782983                2          -1
  -357.554864602743                2           2
  0.155820471574023                2          -2
  -31.1664872199747                4           0
 -0.135483475665457                4           1
 -2.146984246292606E-002           4          -1
   62.2970995318802                4           2
 -3.578716966347557E-002           4          -2
  0.534612178380752                4           3
  1.635655646219162E-002           4          -3
  -103.130381278851                4           4
  9.089476393785458E-002           4          -4
   6.35403863453695                6           0
 -2.036585667628092E-003           6           1
 -3.381781194433121E-003           6          -1
  -5.61844541900014                6           2
  3.002536948815816E-003           6          -2
  9.431662315106840E-003           6           3
 -8.720735954208542E-003           6          -3
   8.73493749219985                6           4
  2.669235619561550E-003           6          -4
 -9.698198221299464E-004           6           5
  1.467022544811831E-002           6          -5
  -11.6660786521831                6           6
 -7.690041342463761E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -2.26659312239768                2           0
  0.708200813851429                2           1
 -0.302542409578236                2          -1
  -357.479047297216                2           2
  0.155804086904527                2          -2
  -31.1661142922281                4           0
 -0.135315401555419                4           1
 -2.166934445756693E-002           4          -1
   62.2906872798577                4           2
 -3.567515035499035E-002           4          -2
  0.534343272217214                4           3
  1.619215952687949E-002           4          -3
  -103.129941745020                4           4
  8.938094985721586E-002           4          -4
   6.35401599453442                6           0
 -2.038597060041738E-003           6           1
 -3.378957738093035E-003           6          -1
  -5.61726912582470                6           2
  2.997409871901212E-003           6          -2
  9.431753878534324E-003           6           3
 -8.726338380631710E-003           6          -3
   8.73486734293722                6           4
  2.709641645093298E-003           6          -4
 -9.255268377034165E-004           6           5
  1.467184216813859E-002           6          -5
  -11.6635734425598                6           6
 -7.691268114092343E-003           6          -6
