 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   18.0988276020487                2           0
  -1.51481640047434                2           1
  -1.41101129328409                2          -1
  -316.139129457297                2           2
  -1.39324726659495                2          -2
  -33.7030761719852                4           0
  1.977416005181614E-002           4           1
 -6.864799032076889E-002           4          -1
   51.5193235927121                4           2
 -0.575844843211996                4          -2
  -1.37408373580656                4           3
  0.609039103816609                4          -3
  -113.275048242944                4           4
 -0.148863866023449                4          -4
   5.87391359762861                6           0
  3.211330370593475E-003           6           1
 -3.550416651840687E-003           6          -1
  -5.19597700344760                6           2
 -3.224864786409266E-002           6          -2
  1.556988004428656E-003           6           3
  4.864640309426068E-004           6          -3
 -0.617344884456649                6           4
 -3.179716985038085E-003           6          -4
  3.663542632294812E-002           6           5
  4.656869785016669E-002           6          -5
  -10.2395560161404                6           6
  1.547502857374409E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   18.1045500420719                2           0
  -1.51403767537723                2           1
  -1.41110339827400                2          -1
  -316.160205989357                2           2
  -1.39372785702568                2          -2
  -33.7031814057566                4           0
  1.961189825854208E-002           4           1
 -6.854798622284319E-002           4          -1
   51.5180961954166                4           2
 -0.575740292648445                4          -2
  -1.37327216867326                4           3
  0.609130517720623                4          -3
  -113.274844898519                4           4
 -0.149124145190620                4          -4
   5.87390921869992                6           0
  3.213075918487244E-003           6           1
 -3.548775515704438E-003           6          -1
  -5.19607781506550                6           2
 -3.224473958189894E-002           6          -2
  1.553705814823078E-003           6           3
  4.920544851431299E-004           6          -3
 -0.617328189922535                6           4
 -3.174963224107999E-003           6          -4
  3.656550527962715E-002           6           5
  4.656921072174865E-002           6          -5
  -10.2396109993281                6           6
  1.547337070226831E-002           6          -6
