 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   30.7508930494664                2           0
  -1.35532698594621                2           1
  -1.84417506276564                2          -1
  -353.732339253527                2           2
  0.611659273421557                2          -2
  -13.4404527312141                4           0
 -5.007405657516246E-002           4           1
  5.549384786547851E-002           4          -1
   58.3230891686759                4           2
  0.125461538647008                4          -2
  0.165806879005479                4           3
 -2.872148164431848E-002           4          -3
  -173.321448770326                4           4
 -5.865891911596373E-002           4          -4
   4.33821875922024                6           0
 -4.358205762384945E-003           6           1
 -6.499157078501375E-003           6          -1
  -4.18019325964539                6           2
  3.132126511734990E-003           6          -2
  1.071156881388247E-002           6           3
  3.925129069722834E-003           6          -3
 -0.948922815856809                6           4
 -2.171564746504608E-003           6          -4
 -4.996510082882633E-002           6           5
 -2.135339082537199E-002           6          -5
  -9.72818257023907                6           6
  1.742988509154669E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   30.7481453043978                2           0
  -1.35490809069264                2           1
  -1.84416615380807                2          -1
  -353.725006168330                2           2
  0.611623828214324                2          -2
  -13.4404600881397                4           0
 -5.010311621623539E-002           4           1
  5.558969601987268E-002           4          -1
   58.3231477979952                4           2
  0.125486177275482                4          -2
  0.165863338740182                4           3
 -2.892817071166032E-002           4          -3
  -173.321815438957                4           4
 -5.865696735828434E-002           4          -4
   4.33821992580938                6           0
 -4.355856501292275E-003           6           1
 -6.501678533086848E-003           6          -1
  -4.18022575016373                6           2
  3.130383968674931E-003           6          -2
  1.070942566984773E-002           6           3
  3.924698672016043E-003           6          -3
 -0.948933640168636                6           4
 -2.170672847919234E-003           6          -4
 -4.996191581049503E-002           6           5
 -2.138449156756886E-002           6          -5
  -9.72821492723936                6           6
  1.745809764551444E-003           6          -6
