 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   19.8992824770494                2           0
  -1.72555881025573                2           1
  -2.20753477400299                2          -1
  -320.787268120490                2           2
  0.691189559875850                2          -2
  -34.5029142384088                4           0
  3.175872584957748E-002           4           1
  0.132572173278153                4          -1
   52.6628789921765                4           2
  0.234906373239181                4          -2
 -0.654405754613917                4           3
  0.806068209177464                4          -3
  -112.689403943442                4           4
 -0.108851012057196                4          -4
   5.97909474115436                6           0
  2.141408256374558E-003           6           1
 -3.375737599548230E-003           6          -1
  -5.29927881172592                6           2
  1.068627438226822E-002           6          -2
 -2.629593967641422E-003           6           3
  1.740704723192687E-002           6          -3
 -0.826888070480626                6           4
  1.624928574929369E-003           6          -4
  5.357826267505042E-002           6           5
  8.386492516542976E-002           6          -5
  -10.3973215395598                6           6
 -8.518842044491194E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   19.8966259965160                2           0
  -1.72503698606505                2           1
  -2.20753882313464                2          -1
  -320.778598356153                2           2
  0.691157049897734                2          -2
  -34.5029081484236                4           0
  3.164857790619250E-002           4           1
  0.132755471782452                4          -1
   52.6627663413495                4           2
  0.234944924014955                4          -2
 -0.654264390183618                4           3
  0.805866234044312                4          -3
  -112.689973322110                4           4
 -0.108874601611090                4          -4
   5.97909913118365                6           0
  2.140534826796614E-003           6           1
 -3.374809277078521E-003           6          -1
  -5.29918984999014                6           2
  1.068478753141265E-002           6          -2
 -2.628003790443832E-003           6           3
  1.740787554048848E-002           6          -3
 -0.826895866591724                6           4
  1.624489334652887E-003           6          -4
  5.356338032601823E-002           6           5
  8.387743589073016E-002           6          -5
  -10.3972442136189                6           6
 -8.520351431995844E-003           6          -6
