 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -237.885476888239                2           0
  4.485833764115121E-002           2           1
  0.362893216074497                2          -1
  -164.517567584751                2           2
  -17.5301254101539                2          -2
  -52.9615559714330                4           0
 -2.280212312731931E-002           4           1
 -0.178535916307480                4          -1
   188.542855377807                4           2
   1.04687575155208                4          -2
  0.288196015515483                4           3
 -0.477540078283623                4          -3
  -84.6051202184833                4           4
  0.330703290061604                4          -4
   5.81902864390312                6           0
 -1.516050381403371E-003           6           1
 -1.028890791653609E-002           6          -1
   5.84386504192267                6           2
  0.262386077046312                6          -2
  4.343472561592561E-003           6           3
 -4.539810495899513E-003           6          -3
  -2.66272015648175                6           4
 -0.238645394250641                6          -4
  1.400073832091414E-002           6           5
  2.656057510178919E-003           6          -5
  -11.8872969097326                6           6
  6.533659310344843E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -198.846784147712                2           0
 -0.146131205480637                2           1
  0.723556881384443                2          -1
  -24.2229088534971                2           2
  -2.64985276033478                2          -2
  -47.1455815885514                4           0
  3.969314890393794E-002           4           1
 -6.556376257007777E-002           4          -1
   13.8510786309297                4           2
   1.11486928026032                4          -2
 -0.135692291511051                4           3
 -0.258078976668543                4          -3
   31.1905497345692                4           4
  -1.50621136923757                4          -4
   3.88960917403500                6           0
 -5.627413724945283E-004           6           1
 -5.734181864302291E-004           6          -1
 -0.120079151819190                6           2
 -2.094362937947824E-002           6          -2
  2.579665255285513E-003           6           3
  5.357665523871144E-003           6          -3
   3.02544518020324                6           4
 -6.778436107695654E-002           6          -4
  2.239771678746698E-002           6           5
  2.041894848309049E-002           6          -5
  0.896242321462734                6           6
  3.136278242230928E-005           6          -6
