 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -218.672009273203                2           0
  6.350635875086268E-002           2           1
  -1.49004469858964                2          -1
   139.721247173742                2           2
 -0.226474561390237                2          -2
  -11.8851071119712                4           0
 -3.526727382970931E-003           4           1
 -0.103610995271571                4          -1
   151.769372660442                4           2
 -0.151817892883008                4          -2
  9.996506581454670E-002           4           3
  0.563783917583400                4          -3
  -37.0821031364466                4           4
  4.971553279758489E-002           4          -4
   6.89405897201261                6           0
  1.411163436009868E-003           6           1
 -3.812851882225667E-003           6          -1
   11.6239382779640                6           2
 -7.232925919574906E-003           6          -2
 -9.820020601610973E-004           6           3
  1.748894852081406E-002           6          -3
  -8.78248752353281                6           4
 -1.977474075631628E-003           6          -4
 -9.793594566897249E-003           6           5
  4.498636241096499E-002           6          -5
  0.192497852443818                6           6
 -7.968652660794173E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -218.698184031306                2           0
  6.348564645980570E-002           2           1
  -1.49084167635575                2          -1
   139.724868031531                2           2
 -0.226790834884682                2          -2
  -11.8848184592561                4           0
 -3.436242378081941E-003           4           1
 -0.103631442554226                4          -1
   151.767439923046                4           2
 -0.151924555307876                4          -2
  9.976471959164958E-002           4           3
  0.563586274300495                4          -3
  -37.0808068121830                4           4
  4.989676365497801E-002           4          -4
   6.89407774069703                6           0
  1.413972845112900E-003           6           1
 -3.810181523948131E-003           6          -1
   11.6238133895414                6           2
 -7.240156208111459E-003           6          -2
 -9.801931545418776E-004           6           3
  1.748595989701766E-002           6          -3
  -8.78266299634979                6           4
 -1.974863466093039E-003           6          -4
 -9.817777699129759E-003           6           5
  4.499285743437940E-002           6          -5
  0.192297130070396                6           6
 -7.978339944352483E-003           6          -6
