 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -209.098671094340                2           0
 -0.675567463517277                2           1
  -1.08140487111506                2          -1
   162.978024766878                2           2
  0.127799821173003                2          -2
  -13.2000329142100                4           0
  6.804008255711251E-002           4           1
 -1.278906268807358E-002           4          -1
   134.332515916242                4           2
 -3.761998498213026E-002           4          -2
 -0.209390651195005                4           3
  0.825388000832002                4          -3
  -32.7982606465576                4           4
 -5.051570267231605E-002           4          -4
   6.27887744237315                6           0
 -3.703794741421224E-003           6           1
  1.945740102405958E-003           6          -1
   9.22738373647483                6           2
  4.526266909988378E-004           6          -2
 -1.116182443202795E-003           6           3
 -3.115802213831365E-003           6          -3
  -16.7764287600857                6           4
  4.615895321511511E-003           6          -4
  2.868972320305237E-003           6           5
  4.755513913571188E-002           6          -5
  0.920375908276345                6           6
  2.577435240429517E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -209.096854256424                2           0
 -0.675476378906176                2           1
  -1.08149168090618                2          -1
   162.995839185276                2           2
  0.127924889900649                2          -2
  -13.2001379241976                4           0
  6.797699389278503E-002           4           1
 -1.270018040272422E-002           4          -1
   134.332704864616                4           2
 -3.763281638546958E-002           4          -2
 -0.209152023378510                4           3
  0.825630547043711                4          -3
  -32.7995915463966                4           4
 -5.049183596079289E-002           4          -4
   6.27887963195203                6           0
 -3.704911883354344E-003           6           1
  1.946032234489732E-003           6          -1
   9.22737342993714                6           2
  4.531350453096847E-004           6          -2
 -1.112969472453604E-003           6           3
 -3.111221397267737E-003           6          -3
  -16.7764024537085                6           4
  4.610604127138557E-003           6          -4
  2.866170268782706E-003           6           5
  4.754096226595105E-002           6          -5
  0.920353719767853                6           6
  2.574757308614038E-003           6          -6
