 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -212.385474685856                2           0
   1.09736100111282                2           1
  0.235714436369585                2          -1
   164.213421778316                2           2
 -0.705183167161869                2          -2
  -13.5889340998537                4           0
  0.162543532680966                4           1
 -4.547891543010277E-002           4          -1
   138.762184993994                4           2
 -0.197806319841665                4          -2
  0.183813309983542                4           3
 -0.154845573911129                4          -3
  -33.4956672479988                4           4
 -0.116073744991416                4          -4
   6.40753157566550                6           0
 -5.243409232406024E-003           6           1
  1.977764097653957E-003           6          -1
   9.48856252077832                6           2
 -9.053746260709584E-003           6          -2
 -9.939073416454636E-003           6           3
 -1.638848776227441E-002           6          -3
  -17.3328664387528                6           4
  1.723704421667424E-003           6          -4
 -4.121479320369273E-002           6           5
  3.826409669384419E-002           6          -5
  0.839650836645577                6           6
  1.705809438048448E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -212.381124806209                2           0
   1.09749716942181                2           1
  0.235845311501672                2          -1
   164.214888622208                2           2
 -0.704899616100531                2          -2
  -13.5889998092509                4           0
  0.162552561981421                4           1
 -4.546400064467363E-002           4          -1
   138.762408984384                4           2
 -0.197807463918501                4          -2
  0.183722386013091                4           3
 -0.154842781008478                4          -3
  -33.4954512944100                4           4
 -0.116074046187614                4          -4
   6.40752757810184                6           0
 -5.242072809900377E-003           6           1
  1.977458654870728E-003           6          -1
   9.48858030256365                6           2
 -9.054429274268342E-003           6          -2
 -9.941115793698880E-003           6           3
 -1.638698271794816E-002           6          -3
  -17.3328450205286                6           4
  1.722782581006692E-003           6          -4
 -4.121995714284002E-002           6           5
  3.826298937301347E-002           6          -5
  0.839668951614005                6           6
  1.705648919396279E-002           6          -6
