 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -106.071810146028                2           0
  -57.7486328464954                2           1
   58.3968936261542                2          -1
 -0.173892937588967                2           2
   79.6009775950222                2          -2
  -19.8195632103356                4           0
   27.7381874143602                4           1
  -27.6937670818585                4          -1
 -4.921498030331500E-002           4           2
  -16.5419128319501                4          -2
   63.9953913144631                4           3
   64.1449248358744                4          -3
   63.4712615476589                4           4
  2.797567644186747E-002           4          -4
   5.24819527251069                6           0
  -4.13340763858792                6           1
   4.13637225392328                6          -1
 -2.395964225926236E-003           6           2
  -4.48830096317132                6          -2
  -8.60120822348295                6           3
  -8.60108850865539                6          -3
   3.82971220023194                6           4
  3.571169320665065E-003           6          -4
   32.7157891119337                6           5
  -32.6950224565462                6          -5
 -6.922780582261388E-004           6           6
  -10.4176153149406                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -106.080680660020                2           0
  -57.7503169071321                2           1
   58.3925307079109                2          -1
 -0.114773659232705                2           2
   79.5997744579802                2          -2
  -19.8195149456418                4           0
   27.7391662610225                4           1
  -27.6928448370022                4          -1
 -4.822555655713629E-002           4           2
  -16.5420111112328                4          -2
   63.9948029785946                4           3
   64.1456569598318                4          -3
   63.4711284634156                4           4
  2.927277515855359E-002           4          -4
   5.24820189601068                6           0
  -4.13337894325126                6           1
   4.13640551025436                6          -1
 -1.913165843667305E-003           6           2
  -4.48830836174903                6          -2
  -8.60124612715163                6           3
  -8.60105171788912                6          -3
   3.82967436142913                6           4
  3.515348917270685E-003           6          -4
   32.7157778048406                6           5
  -32.6949884768771                6          -5
 -4.024211816760645E-005           6           6
  -10.4176205083373                6          -6
