 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -57.0556636795359                2           0
  -35.1926607194820                2           1
   34.8023598588432                2          -1
 -0.668725438104692                2           2
   80.2106594322505                2          -2
  -25.6270766055093                4           0
   24.4225856275903                4           1
  -24.1995740947288                4          -1
  8.007436555765247E-002           4           2
  -18.6036552577791                4          -2
   57.1031557728447                4           3
   56.2200841263145                4          -3
   32.4596480826803                4           4
  0.104572101889827                4          -4
   5.16458440879039                6           0
  -3.83417850609267                6           1
   3.82933292531492                6          -1
  2.969635911942426E-003           6           2
  -3.32901028909568                6          -2
  -7.67504102710279                6           3
  -7.65216782182617                6          -3
  -5.84926842562331                6           4
  1.634923488750883E-004           6          -4
   27.1021198731946                6           5
  -27.1475185242479                6          -5
 -1.116698714380659E-002           6           6
  -8.66413551836560                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -57.0570623840477                2           0
  -35.1884369519262                2           1
   34.7967170274779                2          -1
 -0.609027085826268                2           2
   80.2189407817457                2          -2
  -25.6275578337269                4           0
   24.4227133362012                4           1
  -24.1980460593839                4          -1
  8.051228913294806E-002           4           2
  -18.6005300630065                4          -2
   57.1060807331075                4           3
   56.2218697169406                4          -3
   32.4573468529957                4           4
  0.103161438412757                4          -4
   5.16458233482507                6           0
  -3.83416186134294                6           1
   3.82938235645091                6          -1
  3.304182117316257E-003           6           2
  -3.32881290743092                6          -2
  -7.67506267308023                6           3
  -7.65207664944323                6          -3
  -5.84937867320803                6           4
  2.597828716375717E-004           6          -4
   27.1020431605716                6           5
  -27.1473751632543                6          -5
 -1.081633085612049E-002           6           6
  -8.66405677243480                6          -6
