 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -61.5932936957928                2           0
 -0.225279673426464                2           1
 -0.532268247863966                2          -1
  -322.757593460868                2           2
 -7.875685475954428E-002           2          -2
  -26.6337021581099                4           0
 -2.056521987206306E-002           4           1
  0.110037750432951                4          -1
   38.6971104534918                4           2
 -3.919895102373774E-002           4          -2
 -0.256079393004822                4           3
  0.212719933995908                4          -3
  -48.9797604288390                4           4
 -1.555544038024226E-003           4          -4
   6.16697104154116                6           0
  8.961753260721672E-004           6           1
 -2.877117528619186E-003           6          -1
  -4.44366288561057                6           2
 -3.798030174133041E-003           6          -2
 -2.910924070124723E-003           6           3
  1.333356924586073E-002           6          -3
   5.91658921474573                6           4
  1.810677303041887E-003           6          -4
  2.264485605755729E-003           6           5
  4.619855209353999E-002           6          -5
  -10.8167474142124                6           6
  3.210623439413775E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -61.5873290773119                2           0
 -0.225278992239926                2           1
 -0.532644084115053                2          -1
  -322.763795380633                2           2
 -7.712483342708211E-002           2          -2
  -26.6338085386379                4           0
 -2.056566307041648E-002           4           1
  0.110022416786408                4          -1
   38.6959827446598                4           2
 -3.926721655543070E-002           4          -2
 -0.256137095461222                4           3
  0.212667420445140                4          -3
  -48.9791031504319                4           4
 -1.045971817461429E-003           4          -4
   6.16696553836790                6           0
  8.957804777357183E-004           6           1
 -2.875158379832861E-003           6          -1
  -4.44371027552539                6           2
 -3.798911239632763E-003           6          -2
 -2.908944401424694E-003           6           3
  1.333723041419330E-002           6          -3
   5.91670334114827                6           4
  1.807343153097994E-003           6          -4
  2.252397427197587E-003           6           5
  4.620081162718023E-002           6          -5
  -10.8167899250709                6           6
  3.258354880210575E-003           6          -6
