 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -71.7450420884547                2           0
 -0.496366362421492                2           1
  -1.25712794193291                2          -1
  -285.116331769156                2           2
  0.226021644618614                2          -2
  -29.4965197110083                4           0
 -9.077020233431436E-002           4           1
  5.830232935161592E-002           4          -1
   28.4538421952471                4           2
  1.093822830353810E-002           4          -2
  0.105544072292783                4           3
  9.947413609025993E-002           4          -3
  -26.4760883161411                4           4
  8.404442665256981E-003           4          -4
   5.83448529040091                6           0
 -6.930292950829567E-004           6           1
 -5.164553363689827E-003           6          -1
  -3.68088513659214                6           2
  3.149587614101587E-003           6          -2
  3.199004193541334E-003           6           3
  7.078263923831461E-003           6          -3
  -4.61740015408372                6           4
 -1.847827096644437E-003           6          -4
  1.433064627483554E-002           6           5
  5.285009735688394E-002           6          -5
  -8.81607847201031                6           6
  6.366679879476229E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -71.7400705199792                2           0
 -0.496230794380473                2           1
  -1.25560523113153                2          -1
  -285.129949535666                2           2
  0.224978578420483                2          -2
  -29.4965391335127                4           0
 -9.083752171693525E-002           4           1
  5.873341097530002E-002           4          -1
   28.4529032745204                4           2
  1.132560145186461E-002           4          -2
  0.104670385308098                4           3
  9.984005798719324E-002           4          -3
  -26.4732490896284                4           4
  8.136721661896764E-003           4          -4
   5.83447565714487                6           0
 -7.016474607040821E-004           6           1
 -5.166139494354592E-003           6          -1
  -3.68102093114778                6           2
  3.151497733642005E-003           6          -2
  3.190187120547760E-003           6           3
  7.086913438013871E-003           6          -3
  -4.61727494511129                6           4
 -1.832634337829669E-003           6          -4
  1.431770282017172E-002           6           5
  5.286663620986141E-002           6          -5
  -8.81645427624033                6           6
  6.343781518430409E-003           6          -6
