 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -229.339158647914                2           0
  0.626300921969875                2           1
  0.671641097687564                2          -1
   118.739587490944                2           2
  0.137891176369512                2          -2
  -14.3432586529371                4           0
 -0.104844823972793                4           1
 -4.965832387660275E-002           4          -1
   81.4162136178398                4           2
 -5.683670326254769E-002           4          -2
  0.427610160507703                4           3
 -0.216988610848515                4          -3
   17.0253331128055                4           4
  0.109030766447727                4          -4
   6.45293663572650                6           0
 -1.878876030763500E-003           6           1
 -1.111533372369301E-003           6          -1
   8.37994564305846                6           2
 -1.729307715980980E-003           6          -2
  5.581203064316110E-003           6           3
 -5.678773919150964E-003           6          -3
  -7.83639095772830                6           4
  2.471487961903278E-003           6          -4
 -5.082851668006021E-003           6           5
  6.334867471023558E-003           6          -5
   1.18148985276496                6           6
 -2.655865541533384E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -229.349433392168                2           0
  0.626392083635378                2           1
  0.672068676837945                2          -1
   118.796010169726                2           2
  0.137760308947528                2          -2
  -14.3432009758117                4           0
 -0.104824002788695                4           1
 -4.966069147112826E-002           4          -1
   81.4157061287556                4           2
 -5.688389735598391E-002           4          -2
  0.427612219487276                4           3
 -0.217052964463379                4          -3
   17.0245060532009                4           4
  0.109028098943216                4          -4
   6.45294352535785                6           0
 -1.879659525659087E-003           6           1
 -1.111259031904525E-003           6          -1
   8.37999992355706                6           2
 -1.730991889291992E-003           6          -2
  5.579639095340597E-003           6           3
 -5.677376909609770E-003           6          -3
  -7.83645497919477                6           4
  2.472194832919931E-003           6          -4
 -5.074303848301279E-003           6           5
  6.329726135802711E-003           6          -5
   1.18160547653101                6           6
 -2.653715147799155E-003           6          -6
