 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -211.152639732561                2           0
  0.347439578888011                2           1
 -0.545098461325785                2          -1
   146.501023277653                2           2
  0.573102623412044                2          -2
  -18.2108740494632                4           0
  7.489145126986216E-002           4           1
 -2.208285006280490E-002           4          -1
   74.6943278365745                4           2
  0.147941287273791                4          -2
  0.105680280338816                4           3
 -5.652440279537058E-002           4          -3
   18.2085953776313                4           4
 -2.192360415599989E-002           4          -4
   6.06029318316474                6           0
 -6.335930966119605E-004           6           1
 -3.251797758818932E-003           6          -1
   6.94613182528017                6           2
  9.387511738575594E-003           6          -2
  2.000110762127296E-003           6           3
 -1.714792932484812E-003           6          -3
  -16.9842650808199                6           4
 -1.194530969420044E-003           6          -4
  1.661612674484798E-002           6           5
  4.083855147973314E-002           6          -5
   1.35976093726989                6           6
 -2.212889585477436E-003           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -211.150301961766                2           0
  0.347240222929354                2           1
 -0.545365002718213                2          -1
   146.507323520178                2           2
  0.573344056024943                2          -2
  -18.2109168033245                4           0
  7.486459048842702E-002           4           1
 -2.206595489535811E-002           4          -1
   74.6973688929675                4           2
  0.148017932483667                4          -2
  0.105699667681901                4           3
 -5.646064107444016E-002           4          -3
   18.2087265301521                4           4
 -2.099964643494340E-002           4          -4
   6.06029747399790                6           0
 -6.338514373069743E-004           6           1
 -3.250602866255716E-003           6          -1
   6.94641002513906                6           2
  9.388392357215700E-003           6          -2
  2.001468122294466E-003           6           3
 -1.716079210194484E-003           6          -3
  -16.9841922027101                6           4
 -1.180126670972358E-003           6          -4
  1.661048475512189E-002           6           5
  4.083825391175953E-002           6          -5
   1.36003324531768                6           6
 -2.199391946534587E-003           6          -6
