 ATOMNUMBER =           1
 NUMBER OF LM          28
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
  -73.5634150951776      K           2           0
   275.443543980373      K           2           2
 -0.288245082779085      K          -2           2
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -31.6093235526123      K           4           0
  -34.3988863889267      K           4           2
 -6.278130068228099E-003 K          -4           2
  -51.1411806592216      K           4           4
  6.523712349946963E-002 K          -4           4
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   6.21967865594367      K           6           0
  -6.26784264656395      K           6           2
 -1.670479861917048E-003 K          -6           2
  -17.1190640079740      K           6           4
 -1.962490208520569E-003 K          -6           4
  0.656035375181711      K           6           6
  1.423571226006506E-002 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          28
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
  -73.0931508983552      K           2           0
   274.956879312598      K           2           2
 -0.193629209176809      K          -2           2
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -31.5770853273609      K           4           0
  -34.2795955910382      K           4           2
  1.167174199102588E-002 K          -4           2
  -51.2786323465123      K           4           4
  6.641850761342814E-002 K          -4           4
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   6.22258858511128      K           6           0
  -6.28810769111617      K           6           2
 -1.885543648981196E-003 K          -6           2
  -17.0803050874608      K           6           4
 -7.573094550315672E-004 K          -6           4
  0.636936081162590      K           6           6
  1.328855064749795E-002 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
  -75.3602680510973      K           2           0
 -7.996400155001820E-002 K           2           1
  0.445337139274326      K          -2           1
   275.971211391406      K           2           2
 -0.251437885095772      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -31.4851059658017      K           4           0
 -3.120357724139614E-003 K           4           1
 -9.698369799838697E-003 K          -4           1
  -34.3754260680673      K           4           2
 -2.477727220605594E-003 K          -4           2
 -1.076062617116331E-002 K           4           3
 -2.694853355618206E-002 K          -4           3
  -51.4799631707476      K           4           4
  6.327085814434527E-002 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
   6.22425250846975      K           6           0
  4.556776073349128E-004 K           6           1
  1.630423401739914E-004 K          -6           1
  -6.26201830123805      K           6           2
 -2.608806994816757E-003 K          -6           2
  2.846264193018024E-004 K           6           3
 -9.724629243961768E-003 K          -6           3
  -17.0656234818229      K           6           4
 -1.612528404750772E-003 K          -6           4
 -1.397105772564580E-003 K           6           5
 -8.061620821029973E-003 K          -6           5
  0.677478930469407      K           6           6
  1.350670766896804E-002 K          -6           6
