 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   349.602242954842      K           2           0
 -0.369187572838681      K           2           1
 -0.360670417520841      K          -2           1
 -9.353280714001408E-004 K           2           2
  -852.225897900307      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -45.5390070345571      K           4           0
 -1.061326146192696E-002 K           4           1
 -1.054631767762461E-002 K          -4           1
 -1.382965024454481E-003 K           4           2
   79.4576347444196      K          -4           2
  6.575439826009757E-002 K           4           3
 -7.071716347038397E-002 K          -4           3
  -130.194244369511      K           4           4
  2.839766898607066E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.85826577743929      K           6           0
 -1.142512818939983E-003 K           6           1
 -1.158286430833801E-003 K          -6           1
 -4.755214855335213E-005 K           6           2
  -7.87933660734350      K          -6           2
  4.398511230559561E-004 K           6           3
 -5.038498217160366E-004 K          -6           3
  -19.6825975590282      K           6           4
 -5.161007150562119E-005 K          -6           4
  7.681563333358696E-003 K           6           5
  7.866113528291295E-003 K          -6           5
  1.943186535000464E-005 K           6           6
   8.29721162153593      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   349.603163754100      K           2           0
 -0.372987155223399      K           2           1
 -0.385530495309178      K          -2           1
 -1.504217738174214E-003 K           2           2
  -852.226266313869      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -45.5390618946004      K           4           0
 -1.013209981659401E-002 K           4           1
 -1.110104720958228E-002 K          -4           1
 -1.225493272448916E-003 K           4           2
   79.4571152066056      K          -4           2
  6.362773887823579E-002 K           4           3
 -6.820350672626195E-002 K          -4           3
  -130.193809938424      K           4           4
  2.668046218673631E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -2.85826507708044      K           6           0
 -1.162626842129688E-003 K           6           1
 -1.160442428927748E-003 K          -6           1
 -4.444380705058277E-005 K           6           2
  -7.87934812488978      K          -6           2
  4.630916349893916E-004 K           6           3
 -5.027020504865259E-004 K          -6           3
  -19.6825782690052      K           6           4
 -5.663351277804671E-005 K          -6           4
  7.636273700196949E-003 K           6           5
  7.790092197677546E-003 K          -6           5
  2.081312298233546E-005 K           6           6
   8.29719551284289      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   349.186665430606      K           2           0
 -0.218937738460635      K           2           1
 -0.219157573242957      K          -2           1
  9.070444582244202E-005 K           2           2
   852.801285317572      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -45.5209645767950      K           4           0
  3.336305937405219E-002 K           4           1
  3.115818341643818E-002 K          -4           1
  1.294083355448109E-003 K           4           2
  -79.2295009373275      K          -4           2
  8.227176962059839E-002 K           4           3
 -7.912474819541609E-002 K          -4           3
  -129.947654362161      K           4           4
  3.306541661467658E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
