 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   47.1925931441073      K           2           0
  6.657981803703399E-005 K           2           1
  -1.82835743290421      K          -2           1
  -1304.19258481654      K           2           2
 -4.771956289374526E-006 K          -2           2
  -15.8116100887617      K           4           0
 -1.301697814398525E-004 K           4           1
  0.399157023780964      K          -4           1
  -105.954248811486      K           4           2
  3.096928130419279E-005 K          -4           2
  1.654522133845760E-005 K           4           3
  0.738136881412955      K          -4           3
   70.7561121975045      K           4           4
 -4.903598720562003E-005 K          -4           4
   5.29121209518860      K           6           0
 -3.378380445446561E-006 K           6           1
  1.940422363243974E-002 K          -6           1
   17.8631010529869      K           6           2
  2.286567173242371E-006 K          -6           2
 -5.082909470156607E-006 K           6           3
 -4.174069177904954E-003 K          -6           3
   4.02531408169711      K           6           4
  1.416159860506836E-006 K          -6           4
 -3.156463652472969E-008 K           6           5
  3.809860749362822E-002 K          -6           5
   8.09082847383025      K           6           6
 -6.684637161338025E-007 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -71.1970796279170      K           2           0
  1.921934950694569E-003 K           2           1
  -1.47563165702775      K          -2           1
  0.410120887934962      K           2           2
  2.793713035950572E-004 K          -2           2
  -21.0701729817461      K           4           0
  4.749288014453902E-005 K           4           1
  0.110016452607439      K          -4           1
 -7.494784368448408E-002 K           4           2
 -2.646664533703347E-005 K          -4           2
  5.039304563731675E-005 K           4           3
   1.34944381221862      K          -4           3
  -46.5739167589574      K           4           4
  4.789251059777653E-006 K          -4           4
   5.79147512804319      K           6           0
  6.809795969336218E-009 K           6           1
  3.225117740246821E-003 K          -6           1
 -1.800797744222582E-002 K           6           2
  9.375354582599043E-007 K          -6           2
 -2.419716306169930E-006 K           6           3
  1.068869239369034E-002 K          -6           3
   3.14712374562025      K           6           4
 -2.265832768729658E-006 K          -6           4
  1.018405263896980E-005 K           6           5
  2.909801265511562E-002 K          -6           5
 -1.656093690304502E-002 K           6           6
 -1.706695707346936E-006 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -77.9698036917768      K           2           0
  1.255569017852719E-003 K           2           1
 -0.762221664555045      K          -2           1
  -9.54007380545545      K           2           2
 -8.489384403787911E-005 K          -2           2
  -21.9162809783675      K           4           0
  3.188807674069028E-005 K           4           1
 -0.200989348584509      K          -4           1
   1.54313947208257      K           4           2
  3.192859059075415E-006 K          -4           2
  4.391126420725794E-006 K           4           3
  0.515767562973656      K          -4           3
  -47.7695331253424      K           4           4
 -4.323991912584210E-006 K          -4           4
   5.80186665198564      K           6           0
 -3.099291303194278E-006 K           6           1
  6.080673927558399E-004 K          -6           1
  6.896163610329371E-002 K           6           2
 -1.567773797191781E-006 K          -6           2
  3.034423304219716E-006 K           6           3
 -9.655937569434175E-003 K          -6           3
   3.13207963926611      K           6           4
  2.105245466459247E-006 K          -6           4
  1.932433141037662E-006 K           6           5
  7.352502583381547E-002 K          -6           5
 -0.128180492048179      K           6           6
  3.820918118263136E-006 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -57.9406902350463      K           2           0
  2.301547936223859E-005 K           2           1
 -0.584605323051185      K          -2           1
   2.40513824203913      K           2           2
 -3.075682198641185E-005 K          -2           2
  -20.4211518640206      K           4           0
 -3.580361122350637E-005 K           4           1
 -0.158325566156078      K          -4           1
  -6.56269835976847      K           4           2
  1.518671185300500E-005 K          -4           2
 -7.294882250027219E-005 K           4           3
  0.669864939881664      K          -4           3
  -37.7189307962334      K           4           4
  3.876743853331919E-005 K          -4           4
   5.80217020220728      K           6           0
  4.039651718051572E-006 K           6           1
  3.806651030985539E-003 K          -6           1
 -0.411388483942734      K           6           2
  2.126870332078419E-006 K          -6           2
  9.963775945591764E-006 K           6           3
 -1.246897183178349E-002 K          -6           3
   3.47052304292689      K           6           4
 -5.794003605438259E-007 K          -6           4
 -1.425246493180305E-005 K           6           5
  2.222813580701123E-002 K          -6           5
 -0.671247067151138      K           6           6
  1.006450086616268E-005 K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -78.6046518292207      K           2           0
  2.884477098887557E-004 K           2           1
  -1.02034697211216      K          -2           1
   2.73590647893038      K           2           2
 -6.481595528632725E-005 K          -2           2
  -20.9967866545759      K           4           0
 -3.811899203222637E-005 K           4           1
 -0.223832503449173      K          -4           1
  -2.18232289472546      K           4           2
  3.948109246947192E-006 K          -4           2
  1.396219438864495E-004 K           4           3
   1.00040449211372      K          -4           3
  -42.0059924963383      K           4           4
