 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   353.845675550633      K           2           0
  0.254323839128713      K           2           1
  0.251998017953079      K          -2           1
 -1.372845648682010E-003 K           2           2
  -845.584950053799      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -40.8954882823778      K           4           0
 -2.048339216103761E-002 K           4           1
 -2.085854362536296E-002 K          -4           1
  1.508335625083202E-003 K           4           2
   63.2991926672241      K          -4           2
  3.814900503792778E-002 K           4           3
 -3.807390836944548E-002 K          -4           3
  -120.686195039978      K           4           4
 -1.886172299565516E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.69707226025422      K           6           0
 -1.042621703957820E-003 K           6           1
 -1.030752437525540E-003 K          -6           1
  5.110997568566213E-005 K           6           2
  -3.31136152917024      K          -6           2
  4.518405313037333E-004 K           6           3
 -4.561282694324801E-004 K          -6           3
  -14.7526005110526      K           6           4
 -5.199942468997160E-006 K          -6           4
  7.954274176609532E-004 K           6           5
  8.458176917032701E-004 K          -6           5
 -3.202411588737861E-005 K           6           6
   4.57819149657549      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   353.833803639230      K           2           0
  0.274955024007161      K           2           1
  0.273363739479771      K          -2           1
 -1.463265855491445E-003 K           2           2
  -845.590990095880      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -40.8952224129977      K           4           0
 -1.865309341335337E-002 K           4           1
 -1.789850852176611E-002 K          -4           1
  1.559340746054873E-003 K           4           2
   63.2957622748441      K          -4           2
  3.237328152942222E-002 K           4           3
 -3.139144758299545E-002 K          -4           3
  -120.688390366104      K           4           4
 -1.888777485154965E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.69708895067088      K           6           0
 -9.888248682310243E-004 K           6           1
 -9.774950023025803E-004 K          -6           1
  5.175879328699619E-005 K           6           2
  -3.31160016400603      K          -6           2
  3.235658745119916E-004 K           6           3
 -3.181966444053216E-004 K          -6           3
  -14.7525733119448      K           6           4
 -5.515983898051792E-006 K          -6           4
  8.899670412025625E-004 K           6           5
  9.592261086944124E-004 K          -6           5
 -3.165294461683365E-005 K           6           6
   4.57835279326173      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   352.803696646205      K           2           0
  0.139949180550997      K           2           1
  0.128966287972960      K          -2           1
 -1.172476288574438E-002 K           2           2
   845.598422679108      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -40.8304227090811      K           4           0
 -2.440633288023422E-005 K           4           1
 -1.332923910578270E-003 K          -4           1
 -2.965695142722026E-003 K           4           2
  -63.3302460741198      K          -4           2
  0.326360788573648      K           4           3
 -0.331409538800245      K          -4           3
  -120.601540624113      K           4           4
 -2.475394457717626E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
