 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -165.996624660821                2           0
  -71.6442041920333                2           1
   99.6566571516768                2          -1
  -118.250446353878                2           2
   101.312422182170                2          -2
  -53.4598965118289                4           0
 -0.351425918874519                4           1
  -1.35365719132932                4          -1
   174.911306448823                4           2
  -4.95510417203937                4          -2
   30.5675823072752                4           3
   22.4577712053009                4          -3
  -49.2787148035757                4           4
  -1.90689552081857                4          -4
   5.56370164254094                6           0
   1.49794443284984                6           1
  -1.60812665102357                6          -1
   2.77910522020494                6           2
  0.819333494093949                6          -2
   2.30243489935880                6           3
   2.22604667854150                6          -3
  -15.7321875430756                6           4
 -0.140536922258078                6          -4
  -10.7925223590871                6           5
   10.5268209066766                6          -5
  -9.89049802099488                6           6
   3.29686069635371                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -105.190645075486                2           0
  -87.8514625390476                2           1
   61.9781618625640                2          -1
  -26.0649278436075                2           2
   80.5968964555131                2          -2
  -50.5200504676417                4           0
  -3.84582316951682                4           1
   2.30864083787002                4          -1
  -5.35684156035278                4           2
  -4.61377593430948                4          -2
   19.0261458265145                4           3
   13.7628785854936                4          -3
   47.5051531959489                4           4
   1.06063275809779                4          -4
   3.75289638909920                6           0
   1.49653500859957                6           1
  -1.54597279281516                6          -1
  -2.56424251017625                6           2
   1.31634378862249                6          -2
   2.18574754856776                6           3
   2.27784745163023                6          -3
  -9.19550953761179                6           4
  2.670613601315329E-002           6          -4
  -10.4519056192692                6           5
   10.4923293918403                6          -5
  0.840294081346179                6           6
   3.12065252817932                6          -6
