 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   330.344399965882      K           2           0
 -0.478304998208022      K           2           1
 -0.343479130231708      K          -2           1
  1.191748709747784E-003 K           2           2
  -781.894312410006      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -33.6806601149293      K           4           0
 -3.367562506709313E-002 K           4           1
 -3.687204600546642E-004 K          -4           1
  8.368894460072522E-003 K           4           2
   50.9396361304914      K          -4           2
 -7.586818147486607E-002 K           4           3
  6.804310670670916E-002 K          -4           3
  -100.186877753183      K           4           4
 -1.292392336038796E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.16687395190919      K           6           0
 -4.191965666623600E-004 K           6           1
 -6.755212300936776E-004 K          -6           1
 -3.989001694422108E-004 K           6           2
  -2.44785623445922      K          -6           2
 -1.472505687612336E-003 K           6           3
  1.545297227861179E-003 K          -6           3
  -9.13511846366987      K           6           4
 -1.064556993337869E-004 K          -6           4
  7.504280063963498E-004 K           6           5
  6.657044081427721E-004 K          -6           5
 -1.988626880300548E-007 K           6           6
   3.64489341705102      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   330.333582497716      K           2           0
 -0.362247336817456      K           2           1
 -0.312859084459858      K          -2           1
  1.320489436733055E-002 K           2           2
  -781.901884245342      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -33.6810362291294      K           4           0
 -3.835107268580373E-002 K           4           1
 -1.451030745401910E-002 K          -4           1
  4.355990571667746E-003 K           4           2
   50.9358813466473      K          -4           2
 -5.779032684526773E-002 K           4           3
  8.136195405388906E-002 K          -4           3
  -100.185876005754      K           4           4
 -8.449211251553366E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.16689258269275      K           6           0
 -4.407154612213568E-004 K           6           1
 -7.067089714003709E-004 K          -6           1
 -4.229256789032266E-004 K           6           2
  -2.44804394167218      K          -6           2
 -1.578615655169580E-003 K           6           3
  1.640506075375633E-003 K          -6           3
  -9.13515219826046      K           6           4
 -1.033573154450770E-004 K          -6           4
  1.018085124221400E-003 K           6           5
  1.875132332927685E-003 K          -6           5
 -3.567416134274862E-005 K           6           6
   3.64508871359298      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   330.361904734509      K           2           0
  7.311450845142443E-002 K           2           1
 -4.872169934906477E-002 K          -2           1
 -1.733917248551237E-002 K           2           2
   781.685894683165      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -33.6700476519210      K           4           0
 -3.805674894146354E-002 K           4           1
 -3.778614486170741E-002 K          -4           1
 -6.703043172166638E-003 K           4           2
  -50.8963789360892      K          -4           2
  0.127780709261935      K           4           3
 -0.132644628331783      K          -4           3
  -100.143988068771      K           4           4
 -1.321860403206613E-003 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
