 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   327.976467261652      K           2           0
 -0.582348318089887      K           2           1
 -0.569224021248356      K          -2           1
  3.387668376271948E-003 K           2           2
  -772.802638334691      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -32.2493687026053      K           4           0
 -7.516780164026302E-002 K           4           1
 -7.026160498938200E-002 K          -4           1
  1.931733145941627E-003 K           4           2
   49.2040962283655      K          -4           2
 -7.968247080094007E-002 K           4           3
  7.950354092648473E-002 K          -4           3
  -96.1861554198253      K           4           4
 -4.874487206946364E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.12158373444437      K           6           0
  1.792595294602190E-004 K           6           1
  1.455078861018847E-004 K          -6           1
 -7.390703625667526E-006 K           6           2
  -2.36979497951795      K          -6           2
 -2.056085099333903E-003 K           6           3
  2.089434370950263E-003 K          -6           3
  -8.51022764275080      K           6           4
 -3.170394128386652E-005 K          -6           4
 -2.574216804551811E-003 K           6           5
 -2.461511800531349E-003 K          -6           5
 -2.789295591252404E-006 K           6           6
   3.61951386202042      K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   327.959413164732      K           2           0
 -0.570473367421752      K           2           1
 -0.537343231870361      K          -2           1
 -5.300057894761509E-003 K           2           2
  -772.801319719543      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -32.2493417784341      K           4           0
 -7.880671446168325E-002 K           4           1
 -7.375373620334105E-002 K          -4           1
  1.905496883008139E-003 K           4           2
   49.2031444624400      K          -4           2
 -6.562516101839706E-002 K           4           3
  6.772413703696063E-002 K          -4           3
  -96.1875229060168      K           4           4
 -5.824199699552012E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
  0.000000000000000E+000 K           5           3
  0.000000000000000E+000 K          -5           3
  0.000000000000000E+000 K           5           4
  0.000000000000000E+000 K          -5           4
  0.000000000000000E+000 K           5           5
  0.000000000000000E+000 K          -5           5
  -1.12161120689606      K           6           0
  1.304779588113313E-004 K           6           1
  7.108310327647563E-005 K          -6           1
  3.499740783902875E-006 K           6           2
  -2.37001638822649      K          -6           2
 -2.014262518647533E-003 K           6           3
  2.065467580161355E-003 K          -6           3
  -8.51028599900364      K           6           4
 -3.585635905237999E-005 K          -6           4
 -3.061989723665469E-003 K           6           5
 -2.835947182571707E-003 K          -6           5
 -6.012243189411055E-006 K           6           6
   3.61969990734813      K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  0.000000000000000E+000 K           1           0
  0.000000000000000E+000 K           1           1
  0.000000000000000E+000 K          -1           1
   327.913308374073      K           2           0
 -8.297012513576781E-003 K           2           1
 -3.014185446316780E-002 K          -2           1
 -1.289170915417381E-002 K           2           2
   771.901963022977      K          -2           2
  0.000000000000000E+000 K           3           0
  0.000000000000000E+000 K           3           1
  0.000000000000000E+000 K          -3           1
  0.000000000000000E+000 K           3           2
  0.000000000000000E+000 K          -3           2
  0.000000000000000E+000 K           3           3
  0.000000000000000E+000 K          -3           3
  -32.1861084700253      K           4           0
  5.943700952752857E-003 K           4           1
  5.912118169977883E-003 K          -4           1
 -3.234588977649428E-003 K           4           2
  -49.3963128322705      K          -4           2
  0.202935432497570      K           4           3
 -0.192904633737286      K          -4           3
  -96.0986806507564      K           4           4
 -9.411986644933213E-004 K          -4           4
  0.000000000000000E+000 K           5           0
  0.000000000000000E+000 K           5           1
  0.000000000000000E+000 K          -5           1
  0.000000000000000E+000 K           5           2
  0.000000000000000E+000 K          -5           2
