 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -38.9218828996803      K           2           0
 -9.493519905105022E-005 K           2           1
  1.565519472467788E-004 K          -2           1
  -2.72970671355174      K           2           2
  -4.72846225543851      K          -2           2
  -40.1286250427184      K           4           0
  3.704209931360458E-006 K           4           1
 -4.613845263656867E-006 K          -4           1
 -0.204139099006255      K           4           2
 -0.353490793789675      K          -4           2
 -3.898059447636918E-005 K           4           3
 -1.214082416483618E-007 K          -4           3
   1.80598933155028      K           4           4
  -3.12648700602977      K          -4           4
   10.1881839219662      K           6           0
 -1.711952849153755E-007 K           6           1
  1.797431599041315E-007 K          -6           1
 -1.321711029704400E-002 K           6           2
 -2.288762038615945E-002 K          -6           2
 -1.715739271139678E-006 K           6           3
 -9.448720671494998E-008 K          -6           3
 -1.681712789020590E-002 K           6           4
  2.921659225902698E-002 K          -6           4
 -5.511920979191681E-008 K           6           5
  2.047715348878396E-007 K          -6           5
   231.031796068770      K           6           6
  3.956519203068014E-006 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   148.618517328923      K           2           0
   1.14831400963444      K           2           1
  -1.98878662343341      K          -2           1
  -2.19526270348094      K           2           2
  -3.80275032696889      K          -2           2
  -15.0696454703763      K           4           0
 -0.160060818140367      K           4           1
  0.277187770013245      K          -4           1
 -5.965583947883059E-002 K           4           2
 -0.103226975373775      K          -4           2
   23.3854682934049      K           4           3
  6.597531604594696E-007 K          -4           3
   1.53032635466183      K           4           4
  -2.64880442438728      K          -4           4
   7.32810413178318      K           6           0
  1.411946868191098E-002 K           6           1
 -2.445304558942057E-002 K          -6           1
 -1.326963386727418E-002 K           6           2
 -2.297922757345212E-002 K          -6           2
  -2.16507244510223      K           6           3
 -2.801257963832422E-008 K          -6           3
 -1.784718436765740E-002 K           6           4
  3.098792590525476E-002 K          -6           4
 -5.013213565224681E-002 K           6           5
 -8.683235665915250E-002 K          -6           5
   231.066209560636      K           6           6
  2.574083032875089E-006 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   148.620293207658      K           2           0
  -1.14823178175044      K           2           1
   1.98865648034236      K          -2           1
  -2.19507830987949      K           2           2
  -3.80247982334073      K          -2           2
  -15.0696410147346      K           4           0
  0.160062965083376      K           4           1
 -0.277193291324510      K          -4           1
 -5.965709711346752E-002 K           4           2
 -0.103230633353294      K          -4           2
  -23.3855643367160      K           4           3
 -1.278069237814036E-006 K          -4           3
   1.53031411760367      K           4           4
  -2.64877524066098      K          -4           4
   7.32810413928915      K           6           0
 -1.411932636605662E-002 K           6           1
  2.445275255734193E-002 K          -6           1
 -1.326921342105554E-002 K           6           2
 -2.297878416225348E-002 K          -6           2
   2.16506985350789      K           6           3
  1.870079793184383E-008 K          -6           3
 -1.784665701027177E-002 K           6           4
  3.098704621057918E-002 K          -6           4
  5.013207740083998E-002 K           6           5
  8.683208886200972E-002 K          -6           5
   231.066211058694      K           6           6
  2.385955096429975E-006 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -76.1588299997826      K           2           0
  0.665247030103597      K           2           1
  -1.15061001371127      K          -2           1
  7.892162020607470E-002 K           2           2
  0.137155160297225      K          -2           2
  -13.8523527321592      K           4           0
 -1.397773189519564E-003 K           4           1
  2.424842960848520E-003 K          -4           1
 -0.321460330157324      K           4           2
 -0.556777467026608      K          -4           2
   8.63865519760256      K           4           3
 -1.566970584038358E-007 K          -4           3
  0.205847449064036      K           4           4
 -0.355747364327890      K          -4           4
  -3.12358490200046      K           6           0
  1.661285993432479E-003 K           6           1
 -2.878219463452234E-003 K          -6           1
 -7.147665091158909E-003 K           6           2
 -1.237786835988896E-002 K          -6           2
 -0.224651975745447      K           6           3
  5.508053014249280E-008 K          -6           3
 -1.771437535668030E-002 K           6           4
  3.065996000167412E-002 K          -6           4
 -6.245324836182432E-002 K           6           5
 -0.108171443225464      K          -6           5
   66.6533576014100      K           6           6
 -2.745065125856897E-007 K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -76.1581530949023      K           2           0
 -0.665196493891590      K           2           1
   1.15069358176606      K          -2           1
  7.880467441869467E-002 K           2           2
  0.137542305384162      K          -2           2
  -13.8523482447927      K           4           0
  1.399883818254390E-003 K           4           1
 -2.424934879719338E-003 K          -4           1
 -0.321462472993803      K           4           2
 -0.556780459181534      K          -4           2
  -8.63871922811528      K           4           3
  5.344336059903424E-008 K          -4           3
  0.205845008298118      K           4           4
 -0.355746310605847      K          -4           4
  -3.12358487617142      K           6           0
