 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   185.479426854421                2           0
 -0.413192747134966                2           1
  0.709497026766495                2          -1
   2.18230436754551                2           2
   3.80220424158377                2          -2
   13.0012281536222                4           0
  0.408850315654281                4           1
 -0.705997753094095                4          -1
 -0.103780627582773                4           2
 -0.175862055371487                4          -2
  -16.7630510619355                4           3
  2.004326925463104E-003           4          -3
 -0.817888778501420                4           4
   1.42078590724016                4          -4
   2.84009945774573                6           0
  2.332070009579491E-002           6           1
 -4.053222990352045E-002           6          -1
  6.079359791618792E-002           6           2
  0.104961266130805                6          -2
 -0.609969924237844                6           3
  3.786763288677762E-006           6          -3
  3.257420591398567E-002           6           4
 -5.647922385793576E-002           6          -4
 -3.197065859659359E-002           6           5
 -5.585906234582538E-002           6          -5
   146.132634063035                6           6
 -1.387416992548334E-004           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -71.4972173546145                2           0
  -1.41716177615560                2           1
   2.44105937915720                2          -1
   4.67870648687518                2           2
   8.11073337282847                2          -2
  -9.52281617914203                4           0
  0.405458338208579                4           1
 -0.703413479296916                4          -1
 -0.698815481330227                4           2
  -1.20775877904653                4          -2
   13.0373696998137                4           3
  8.122657788379388E-004           4          -3
  0.590720591355180                4           4
  -1.02605168915534                4          -4
  -1.95284992765820                6           0
 -2.462416988050380E-002           6           1
  4.266796309475283E-002           6          -1
  4.104650137441028E-002           6           2
  7.079517967265213E-002           6          -2
  0.237230587475716                6           3
  1.003804164743825E-004           6          -3
  2.775767450599568E-002           6           4
 -4.903940337056283E-002           6          -4
  5.883924675837630E-002           6           5
  0.102035918325546                6          -5
   40.4463965088442                6           6
  8.803150925499504E-005           6          -6
