 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -47.6951861828607                2           0
 -0.181455217100693                2           1
  0.311563748801517                2          -1
   1.11541778570458                2           2
   1.93151194829278                2          -2
  -18.3531663275148                4           0
 -0.151876405666460                4           1
  0.262682900394597                4          -1
 -0.359799528002891                4           2
 -0.623206526550316                4          -2
  0.279629803837959                4           3
  2.345290704314295E-004           4          -3
 -0.717187451332196                4           4
   1.24268894631339                4          -4
  -3.20529436603504                6           0
 -1.506400934537536E-004           6           1
  3.247578617771891E-004           6          -1
 -5.324594075275255E-002           6           2
 -9.222380177949366E-002           6          -2
  1.064518961500847E-002           6           3
 -1.977873291543950E-005           6          -3
  0.155911754317436                6           4
 -0.270064922551892                6          -4
 -7.206194624709335E-003           6           5
 -1.248316111210431E-002           6          -5
   67.2707008275468                6           6
 -1.861639922960120E-006           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -47.7363113115744                2           0
 -0.183524095223285                2           1
  0.315309470070578                2          -1
  0.736649661642550                2           2
   1.27550340808128                2          -2
  -18.4880237768410                4           0
 -0.151517879257482                4           1
  0.262065604206544                4          -1
 -0.291304673482092                4           2
 -0.504535734641703                4          -2
  0.278570354040760                4           3
  2.375741286420424E-004           4          -3
 -0.728013879611225                4           4
   1.26140716617001                4          -4
  -3.19944209673603                6           0
 -1.510720122982711E-004           6           1
  3.259515536406645E-004           6          -1
 -5.160516334493551E-002           6           2
 -8.938219871853161E-002           6          -2
  1.067195786264918E-002           6           3
 -1.998454300061805E-005           6          -3
  0.158827168262833                6           4
 -0.275108595977009                6          -4
 -7.515924173589701E-003           6           5
 -1.301465048212246E-002           6          -5
   67.3465993010251                6           6
 -2.280587275241368E-007           6          -6
