 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -272.174625155974      K           2           0
 -1.804862357602091E-003 K           2           1
  3.045155570438329E-003 K          -2           1
 -0.751378902717229      K           2           2
  -1.30117731532500      K          -2           2
  -40.3784000905274      K           4           0
 -2.159970379848883E-005 K           4           1
  3.821875369432130E-005 K          -4           1
 -0.877150360315276      K           4           2
  -1.51926383084426      K          -4           2
  1.287269133387124E-002 K           4           3
  7.904972799419189E-006 K          -4           3
 -3.567527105648331E-002 K           4           4
  6.427502667067254E-002 K          -4           4
   4.92627295284897      K           6           0
 -4.905128448230181E-005 K           6           1
  8.438636342307924E-005 K          -6           1
 -0.124094178888313      K           6           2
 -0.214934796300394      K          -6           2
  8.692904247156860E-004 K           6           3
 -2.180457320117504E-007 K          -6           3
  2.722796312625528E-002 K           6           4
 -4.724623723303777E-002 K          -6           4
  1.436941227147490E-004 K           6           5
  2.480345360224938E-004 K          -6           5
   94.7901216233342      K           6           6
 -7.265726289134599E-007 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -137.963884412674      K           2           0
   1.15147122244113      K           2           1
  -1.99434486673547      K          -2           1
  0.922693389123092      K           2           2
   1.59818711117760      K          -2           2
  -29.1629020626942      K           4           0
  6.003201420894379E-002 K           4           1
 -0.103992598676591      K          -4           1
 -0.223438421811408      K           4           2
 -0.386989993509380      K          -4           2
   42.9598324684212      K           4           3
  1.091788620137711E-005 K          -4           3
  0.813303302794773      K           4           4
  -1.40526016062067      K          -4           4
   3.99193927823445      K           6           0
 -5.029538771670376E-002 K           6           1
  8.711408478651397E-002 K          -6           1
 -0.158170663111865      K           6           2
 -0.273956935533835      K          -6           2
   13.0862549187131      K           6           3
 -2.240360621176433E-007 K          -6           3
  2.193196823538258E-002 K           6           4
 -3.810590363375490E-002 K          -6           4
  0.142348818247135      K           6           5
  0.246555252959177      K          -6           5
   103.138400688453      K           6           6
 -2.009197135146157E-006 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -137.965623015175      K           2           0
  -1.15228099272565      K           2           1
   1.99572977453470      K          -2           1
  0.927881351795773      K           2           2
   1.60719066590956      K          -2           2
  -29.1641892006356      K           4           0
 -6.064183748960944E-002 K           4           1
  0.105038263787700      K          -4           1
 -0.223053835589224      K           4           2
 -0.386324865525753      K          -4           2
  -42.9377516275744      K           4           3
 -2.141497817247261E-006 K          -4           3
  0.812074727281276      K           4           4
  -1.40317054311874      K          -4           4
   3.99185133117958      K           6           0
  5.033209693630294E-002 K           6           1
 -8.717695971005575E-002 K          -6           1
 -0.158091434256576      K           6           2
 -0.273820986960437      K          -6           2
  -13.0856443359562      K           6           3
  3.232777721099181E-008 K          -6           3
  2.210478866243886E-002 K           6           4
 -3.840262043933348E-002 K          -6           4
 -0.142488849426904      K           6           5
 -0.246795646781187      K          -6           5
   103.138490448948      K           6           6
 -2.005323743898757E-006 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   28.9685274789228      K           2           0
 -0.965864626091360      K           2           1
   1.67310525989265      K          -2           1
   4.37683794411599      K           2           2
   7.58097199105519      K          -2           2
  -10.0745108835075      K           4           0
 -0.411055541966877      K           4           1
  0.711984713819514      K          -4           1
  4.531005146331438E-002 K           4           2
  7.848771348314375E-002 K          -4           2
   31.8291209976377      K           4           3
 -8.446545640468165E-006 K          -4           3
  0.548170893342905      K           4           4
 -0.947006577252346      K          -4           4
   1.25234402481629      K           6           0
 -0.124661720125245      K           6           1
  0.215916795224906      K          -6           1
 -0.108148888491945      K           6           2
 -0.187318112967453      K          -6           2
   2.51175591580577      K           6           3
  1.808318954677339E-007 K          -6           3
 -0.108718357164844      K           6           4
  0.188222364596257      K          -6           4
  0.407327561137151      K           6           5
  0.705502358290686      K          -6           5
   95.3317004759846      K           6           6
 -8.726713468984897E-007 K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
   28.9353053210536      K           2           0
  0.968831323878092      K           2           1
  -1.67808036685734      K          -2           1
   4.38193644140034      K           2           2
   7.59052968883879      K          -2           2
  -10.0796098748918      K           4           0
  0.411314421400484      K           4           1
 -0.712437512558942      K          -4           1
  4.415437524361610E-002 K           4           2
  7.648341721896122E-002 K          -4           2
  -31.8612061825313      K           4           3
  9.304759180836827E-006 K          -4           3
  0.544963295147372      K           4           4
 -0.941458388719858      K          -4           4
   1.25208734972940      K           6           0
  0.124555073349298      K           6           1
 -0.215734091947581      K          -6           1
 -0.108053793779731      K           6           2
 -0.187152660852893      K          -6           2
