 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   22.0494480543172                2           0
  -276.706591151506                2           1
   299.327771126497                2          -1
  -361.707393032332                2           2
   205.872914722732                2          -2
  -36.3263076530311                4           0
   7.85525208445193                4           1
  -19.2698977272979                4          -1
   86.7867488793796                4           2
  -12.8158550464995                4          -2
   87.0762679122725                4           3
   110.017168544315                4          -3
  -81.9074920628027                4           4
   6.97610620226555                4          -4
   6.31507679486811                6           0
   2.13739914120158                6           1
  -2.30191805878176                6          -1
  -5.18399173111501                6           2
   1.81137801389805                6          -2
   3.10762432781172                6           3
   2.29231474533272                6          -3
  -1.73941921706551                6           4
 -0.237174380847961                6          -4
  -16.9843114256604                6           5
   18.6481880576875                6          -5
  -10.0295256066025                6           6
   5.04184082690926                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
   22.0456729046247                2           0
  -276.709627168448                2           1
   299.332565796942                2          -1
  -361.698444575516                2           2
   205.873290790084                2          -2
  -36.3259847886016                4           0
   7.85560434304046                4           1
  -19.2709103831474                4          -1
   86.7869934962521                4           2
  -12.8164338432940                4          -2
   87.0754595531446                4           3
   110.013663296985                4          -3
  -81.9026314304832                4           4
   6.97831328682691                4          -4
   6.31507240290847                6           0
   2.13741345216646                6           1
  -2.30191677523495                6          -1
  -5.18385135216548                6           2
   1.81132998883751                6          -2
   3.10757919689467                6           3
   2.29230572553873                6          -3
  -1.73944936094939                6           4
 -0.237221610213465                6          -4
  -16.9843348442187                6           5
   18.6479155146582                6          -5
  -10.0292960637435                6           6
   5.04176743814555                6          -6
