 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -288.158868592126                2           0
  -298.395283222160                2           1
   301.272197884295                2          -1
   130.227850158073                2           2
   204.828042328470                2          -2
  -10.0452611272292                4           0
   14.0418228243869                4           1
  -19.1267747104164                4          -1
   190.754722574339                4           2
  -9.63358094226541                4          -2
   97.7357185634218                4           3
   86.7944564226334                4          -3
   10.8465970127904                4           4
  -5.98083465041237                4          -4
   6.72005155019655                6           0
   2.59625138150105                6           1
  -2.40506424969510                6          -1
   8.97424768137670                6           2
   1.69172542902023                6          -2
   3.23683325658079                6           3
   2.62710760026489                6          -3
  -18.2766201009668                6           4
 -5.872351033135047E-002           6          -4
  -19.1137918007105                6           5
   14.1681440291683                6          -5
  0.357759101845158                6           6
   4.97603214236335                6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -288.174008788825                2           0
  -298.399739357536                2           1
   301.277785835688                2          -1
   130.218504425211                2           2
   204.827923718558                2          -2
  -10.0450665092360                4           0
   14.0420535612255                4           1
  -19.1272495232772                4          -1
   190.753897259860                4           2
  -9.63345306563481                4          -2
   97.7340530603948                4           3
   86.7939245055958                4          -3
   10.8451273581921                4           4
  -5.98058242694538                4          -4
   6.72006839008604                6           0
   2.59624833345196                6           1
  -2.40508098728027                6          -1
   8.97420713504558                6           2
   1.69175172797509                6          -2
   3.23682409689787                6           3
   2.62708794517292                6          -3
  -18.2767046808739                6           4
 -5.868644203428662E-002           6          -4
  -19.1138042523747                6           5
   14.1681523146285                6          -5
  0.357794835842811                6           6
   4.97603826134102                6          -6
