 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -41.4389924257218      K           2           0
  1.414061106998925E-003 K           2           1
 -6.768163108229291E-003 K          -2           1
  -6.24776646213262      K           2           2
  -5.66943155526131      K          -2           2
  -39.0598361832007      K           4           0
 -6.288362750156227E-005 K           4           1
  1.441421631948016E-003 K          -4           1
 -0.474780652015775      K           4           2
  0.480589067566188      K          -4           2
  5.198611513862844E-004 K           4           3
 -2.649808860420678E-003 K          -4           3
   3.12035448035860      K           4           4
  -2.61039697712972      K          -4           4
   9.96386304701748      K           6           0
 -2.186862274225953E-005 K           6           1
 -2.142856417193384E-005 K          -6           1
 -9.573305373079108E-002 K           6           2
 -3.365865630186714E-002 K          -6           2
  3.560490541998210E-005 K           6           3
 -1.787519187546215E-005 K          -6           3
  6.400690773005186E-003 K           6           4
  3.342767386275282E-002 K          -6           4
  1.222462927392135E-004 K           6           5
 -1.108221150945907E-004 K          -6           5
   225.401457573995      K           6           6
  3.540163740827920E-002 K          -6           6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -38.6625367942943      K           2           0
  1.822241349291826E-005 K           2           1
  4.841363900497317E-003 K          -2           1
  -2.02706982805685      K           2           2
   1.91291598370722      K          -2           2
  -39.1952941774175      K           4           0
  7.359190195749997E-005 K           4           1
 -6.867811840930082E-004 K          -4           1
  0.364483750164624      K           4           2
   1.30190751185649      K          -4           2
  7.510193738153985E-004 K           4           3
 -2.124103520929597E-003 K          -4           3
  0.146741899245243      K           4           4
 -0.645774558804696      K          -4           4
   9.96535762319588      K           6           0
 -1.890811066936207E-005 K           6           1
 -1.657269288953873E-006 K          -6           1
 -4.360755663871527E-002 K           6           2
 -1.890795768286365E-005 K          -6           2
  3.588816290255029E-005 K           6           3
  4.832819560522596E-005 K          -6           3
  5.770334104527367E-002 K           6           4
  1.770035394021328E-002 K          -6           4
 -1.008009447078631E-004 K           6           5
 -1.769639561586446E-004 K          -6           5
   225.641017685272      K           6           6
 -1.976624398355073E-002 K          -6           6
 ATOMNUMBER =           3
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -38.6551052797735      K           2           0
 -1.480868377414984E-002 K           2           1
  1.188472043000043E-002 K          -2           1
  -2.02461054378000      K           2           2
   1.91046157442795      K          -2           2
  -39.1958257212855      K           4           0
 -2.915902599351972E-005 K           4           1
  1.036514221521980E-003 K          -4           1
  0.364603119459508      K           4           2
   1.29995539289098      K          -4           2
 -6.018090966735744E-004 K           4           3
  3.506868383018084E-003 K          -4           3
  0.150699648338258      K           4           4
 -0.654234725384107      K          -4           4
   9.96537592455092      K           6           0
  5.240604123771691E-005 K           6           1
 -2.170651507407312E-005 K          -6           1
 -4.372418960820723E-002 K           6           2
 -1.603365640878556E-004 K          -6           2
 -4.681367078521712E-005 K           6           3
 -6.316562547366785E-005 K          -6           3
  5.774227087291647E-002 K           6           4
  1.756925973517988E-002 K          -6           4
  1.129892958872077E-004 K           6           5
  7.526494819340995E-005 K          -6           5
   225.641319421113      K           6           6
 -1.974406383930637E-002 K          -6           6
 ATOMNUMBER =           4
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -41.4468955662285      K           2           0
  1.306119476935387E-002 K           2           1
 -4.610260418774615E-003 K          -2           1
  -6.23907907113880      K           2           2
  -5.67986894075395      K          -2           2
  -39.0595305576682      K           4           0
  1.122512249383712E-004 K           4           1
 -1.141297145016234E-003 K          -4           1
 -0.474299412616541      K           4           2
  0.481245232215609      K          -4           2
 -1.331510625459504E-004 K           4           3
  1.232978031291712E-003 K          -4           3
   3.11786635548707      K           4           4
  -2.60899436595035      K          -4           4
   9.96383808304559      K           6           0
 -7.891105864601798E-006 K           6           1
 -1.329587533000816E-006 K          -6           1
 -9.564274729403317E-002 K           6           2
 -3.375035304530045E-002 K          -6           2
  1.650801402864984E-005 K           6           3
  9.133216083147408E-006 K          -6           3
  6.350188673157442E-003 K           6           4
  3.336666534164115E-002 K          -6           4
 -1.089312059642696E-004 K           6           5
 -3.204977034235869E-005 K          -6           5
   225.400685249837      K           6           6
  3.538336557217450E-002 K          -6           6
 ATOMNUMBER =           5
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -54.7701902316953      K           2           0
  3.459089541175713E-003 K           2           1
 -1.123415511383548E-002 K          -2           1
   5.07126454073697      K           2           2
 -0.747423385535912      K          -2           2
  -38.8015485930419      K           4           0
  6.329737871351618E-004 K           4           1
 -1.001070394439150E-003 K          -4           1
   2.42126999265617      K           4           2
  0.612904414956663      K          -4           2
 -2.383895798294529E-003 K           4           3
  9.624155338245113E-005 K          -4           3
   4.10975668199204      K           4           4
